"feature"	"coef_ER"	"pval_ER"	"qval_ER"	"metadata"
"s__Allisonella_histaminiformans|t__SGB5843"	11.9601004226373	0.0074053576788756	0.236574730134079	"diagnosis"
"s__GGB1680_SGB2312|t__SGB2312"	-11.3660484180034	0.00757360490106078	0.237704897684171	"diagnosis"
"s__GGB9185_SGB14124|t__SGB14124"	-7.15330034685112	0.0079911872061468	0.246486791582701	"diagnosis"
"s__Porphyromonas_SGB1977|t__SGB1977"	7.30553382419159	0.00820103793511533	0.248672150269853	"diagnosis"
"s__Desulfovibrio_desulfuricans|t__SGB15463"	-12.1355285603256	0.00839239740492767	0.250233315956927	"diagnosis"
"s__Enterobacter_ludwigii|t__SGB10127"	5.30764845582609	0.00960199932559386	0.279732716276835	"diagnosis"
"s__Hafnia_paralvei|t__SGB10207"	-6.69085377800732	0.00969448206213737	0.279732716276835	"diagnosis"
"s__Porphyromonas_SGB1980|t__SGB1980"	7.10042048132041	0.0102294824278513	0.287293146685426	"diagnosis"
"s__GGB58233_SGB79883|t__SGB79883"	-6.67204394764182	0.0102776754543696	0.287293146685426	"diagnosis"
"s__Anaeromassilibacillus_sp_An172|t__SGB4271"	-10.9840637659657	0.0108126687347594	0.291271852584835	"diagnosis"
"s__GGB4750_SGB6579|t__SGB6579"	-6.83355890079464	0.0109296881760459	0.291271852584835	"diagnosis"
"s__GGB3817_SGB5182|t__SGB5182"	11.2542332978172	0.0110269703160568	0.291271852584835	"diagnosis"
"s__Phocaeicola_barnesiae|t__SGB1897"	-6.35107737173057	0.0111839853073061	0.291271852584835	"diagnosis"
"s__Roseburia_sp_AM59_24XD|t__SGB4654"	-11.4519874570442	0.0112340736882916	0.291271852584835	"diagnosis"
"s__Alistipes_SGB5086|t__SGB5086"	-10.6594341297383	0.0116320247040762	0.294631948784322	"diagnosis"
"s__GGB4266_SGB5809|t__SGB5809"	0.788977760837631	0.0118788974664352	0.294631948784322	"diagnosis"
"s__GGB9266_SGB14215|t__SGB14215"	-11.6214984263314	0.0120476184697919	0.294631948784322	"diagnosis"
"s__GGB4546_SGB6267|t__SGB6267"	7.70288477694725	0.0120895061140776	0.294631948784322	"diagnosis"
"s__GGB3828_SGB5197|t__SGB5197"	-7.13089041683325	0.0123208205912614	0.294631948784322	"diagnosis"
"s__GGB5973_SGB8589|t__SGB8589"	-11.514840750052	0.0123518145102427	0.294631948784322	"diagnosis"
"s__GGB4599_SGB6362|t__SGB6362"	-11.3905402734115	0.0128284546014332	0.301975069499526	"diagnosis"
"s__Clostridiales_bacterium_BX7|t__SGB72833"	-5.92622843020512	0.0133881414199033	0.311056948054636	"diagnosis"
"s__Solibaculum_mannosilyticum|t__SGB7259"	-7.25718620051224	0.0139041440283357	0.318904021367854	"diagnosis"
"s__GGB9739_SGB15313|t__SGB15313"	-8.85082985508627	0.0141283509480387	0.31994455501318	"diagnosis"
"s__GGB79912_SGB4550|t__SGB4550"	-6.33950368360918	0.0153373239994176	0.342980907936975	"diagnosis"
"s__GGB6019_SGB8651|t__SGB8651"	-7.12839504012633	0.0160255142084195	0.353946233566205	"diagnosis"
"s__Anaerostipes_caccae|t__SGB4529"	-9.40549852422266	0.0166403263183802	0.363043216872954	"diagnosis"
"s__GGB6012_SGB8640|t__SGB8640"	-10.8715789590916	0.0172224958510904	0.371217410573503	"diagnosis"
"s__Clostridium_SGB4909|t__SGB4909"	10.454172530135	0.0174692867395253	0.371439922919593	"diagnosis"
"s__GGB9640_SGB15115|t__SGB15115"	-5.85173553373022	0.0177314344557265	0.371439922919593	"diagnosis"
"s__GGB13818_SGB6606|t__SGB6606"	-10.758017391422	0.0178556922141336	0.371439922919593	"diagnosis"
"s__Ruminococcus_champanellensis|t__SGB4418"	-9.78210886344592	0.0185078992641737	0.378116378286844	"diagnosis"
"s__GGB51269_SGB5062|t__SGB5062"	-9.76777390988949	0.0185993523137184	0.378116378286844	"diagnosis"
"s__GGB9288_SGB14243|t__SGB14243"	-9.67632605183307	0.0191601707923818	0.385140961208664	"diagnosis"
"s__GGB4586_SGB6343|t__SGB6343"	-10.4432111833564	0.0195995185912962	0.386776687357408	"diagnosis"
"s__Butyricicoccus_SGB14990|t__SGB14990"	-7.72175064321144	0.0197355193335719	0.386776687357408	"diagnosis"
"s__Candidatus_Heteroclostridium_caecigallinarum|t__SGB61601"	-4.96923345154039	0.0202206012033974	0.386776687357408	"diagnosis"
"s__GGB6610_SGB9344|t__SGB9344"	-10.008695158059	0.0202303806991158	0.386776687357408	"diagnosis"
"s__GGB9635_SGB15103|t__SGB15103"	-10.6627728992019	0.0203225313647828	0.386776687357408	"diagnosis"
"s__GGB3474_SGB4637|t__SGB4637"	-9.94828265119076	0.0207999016183351	0.391694989423174	"diagnosis"
"s__GGB3306_SGB4372|t__SGB4372"	-9.31571868311916	0.0213046191718235	0.394102173243462	"diagnosis"
"s__Clostridiales_Family_XIII_bacterium_BX16|t__SGB3957"	-7.24689737384559	0.0213683123558501	0.394102173243462	"diagnosis"
"s__GGB3491_SGB4665|t__SGB4665"	-8.45928418004792	0.022246482530911	0.396952963567448	"diagnosis"
"s__Sanguibacteroides_justesenii|t__SGB1776"	-9.64781171435939	0.0223036529638787	0.396952963567448	"diagnosis"
"s__GGB3570_SGB4777|t__SGB4777"	-5.88253025455173	0.0225764628173197	0.396952963567448	"diagnosis"
"s__Peptostreptococcus_anaerobius|t__SGB746"	-9.77680107742772	0.0228232843027698	0.396952963567448	"diagnosis"
"s__GGB58158_SGB79798|t__SGB79798"	-5.99574014442973	0.0229265563129303	0.396952963567448	"diagnosis"
"s__GGB79751_SGB6028|t__SGB6028_group"	6.04131728712068	0.0229570848809425	0.396952963567448	"diagnosis"
"s__GGB9734_SGB15304|t__SGB15304"	-7.95505051494528	0.0232773678891489	0.396952963567448	"diagnosis"
"s__Veillonella_ratti|t__SGB6922"	6.77071327910868	0.0235290816440173	0.396952963567448	"diagnosis"
"s__Lachnospiraceae_bacterium|t__SGB4953"	-9.40647186371471	0.0236373961167038	0.396952963567448	"diagnosis"
"s__GGB38744_SGB14842|t__SGB14842"	-6.01844500560357	0.0238697803008679	0.396952963567448	"diagnosis"
"s__Ruminococcus_bovis|t__SGB4272"	3.06940797898043	0.0239636221717632	0.396952963567448	"diagnosis"
"s__Citrobacter_sp_RHBSTW_00671|t__SGB58199"	-7.64597867279706	0.0252375929610237	0.414220677130931	"diagnosis"
"s__Extibacter_muris|t__SGB4633"	-7.5753242473864	0.025702300029773	0.418012861393308	"diagnosis"
"s__Victivallis_vadensis|t__SGB9202"	-4.94548445406296	0.0261236108099302	0.419995641956026	"diagnosis"
"s__Alistipes_putredinis|t__SGB2318"	-0.585114666225029	0.0263651060973151	0.419995641956026	"diagnosis"
"s__GGB9453_SGB14844|t__SGB14844"	-5.77294607613864	0.0267750265250076	0.419995641956026	"diagnosis"
"s__Streptococcus_SGB14036|t__SGB14036"	-6.84495507026778	0.0268918107366799	0.419995641956026	"diagnosis"
"s__Duodenibacillus_massiliensis|t__SGB9273"	1.97436135478378	0.0269980429429531	0.419995641956026	"diagnosis"
"s__Collinsella_SGB15196|t__SGB15196"	-8.2205084502495	0.0279685136576816	0.421680651689457	"diagnosis"
"s__GGB9299_SGB14259|t__SGB14259"	-8.68994963297231	0.0280384805063316	0.421680651689457	"diagnosis"
"s__GGB6002_SGB8625|t__SGB8625"	1.87010019831768	0.0283586197492086	0.421680651689457	"diagnosis"
"s__GGB3321_SGB4395|t__SGB4395"	-3.58841251646781	0.0283702049045899	0.421680651689457	"diagnosis"
"s__Eisenbergiella_sp_OF01_20|t__SGB4989"	10.4860493091948	0.0284919357136417	0.421680651689457	"diagnosis"
"s__GGB1385_SGB1890|t__SGB1890"	-7.82005328225086	0.0285206030488677	0.421680651689457	"diagnosis"
"s__GGB3118_SGB4130|t__SGB4130"	-7.8489530383407	0.0290149166091251	0.425472834538727	"diagnosis"
"s__Bacteroides_caecigallinarum|t__SGB95339"	-4.8134532171707	0.0293199239037616	0.426449950112435	"diagnosis"
"s__Bacteroides_stercoris|t__SGB1830"	-0.291618911859131	0.0317049795408974	0.451488404257328	"diagnosis"
"s__GGB6001_SGB8624|t__SGB8624"	-7.55063136927427	0.0317218582057967	0.451488404257328	"diagnosis"
"s__Bacteroides_SGB63885|t__SGB63885"	-4.59428241541248	0.0319889461862337	0.451488404257328	"diagnosis"
"s__Candidatus_Methanomassiliicoccus_intestinalis|t__SGB363"	1.84776060382462	0.0320508816884743	0.451488404257328	"diagnosis"
"s__Lawsonibacter_sp_NSJ_51|t__SGB15131"	2.01460537006615	0.0323405106106367	0.452009167831477	"diagnosis"
"s__Sutterella_sp_AM11_39|t__SGB9280"	2.05384433663926	0.0331904895708679	0.452282285802333	"diagnosis"
"s__GGB3537_SGB4727|t__SGB4727"	-4.26460062417639	0.0332257742971493	0.452282285802333	"diagnosis"
"s__GGB6518_SGB9205|t__SGB9205"	10.15596587318	0.0332728386986117	0.452282285802333	"diagnosis"
"s__Vescimonas_SGB15087|t__SGB15087"	-8.91115409927716	0.0333713033683108	0.452282285802333	"diagnosis"
"s__GGB52384_SGB61014|t__SGB61014"	-7.24853292151247	0.0347138443106105	0.465626972167724	"diagnosis"
"s__Bacteroides_intestinalis|t__SGB1845"	11.3398108686627	0.0348764752769564	0.465626972167724	"diagnosis"
"s__GGB4723_SGB6540|t__SGB6540"	6.15785892781069	0.0353443323977262	0.468377856737276	"diagnosis"
"s__GGB9210_SGB14149|t__SGB14149"	5.73138964626928	0.0359694471555958	0.471866571062306	"diagnosis"
"s__GGB4248_SGB5746|t__SGB5746"	10.5367530993055	0.0361351147208138	0.471866571062306	"diagnosis"
"s__GGB79634_SGB101324|t__SGB101324"	-5.78213350173025	0.0363988904087324	0.471866774936393	"diagnosis"
"s__GGB1246_SGB1667|t__SGB1667"	10.4590561838132	0.0372310601302018	0.476424175769105	"diagnosis"
"s__Faecalicatena_SGB4872|t__SGB4872"	-3.9924170390012	0.0372830545599076	0.476424175769105	"diagnosis"
"s__GGB9743_SGB15349|t__SGB15349"	10.9546500699422	0.0387185081651323	0.491258234804409	"diagnosis"
"s__GGB4664_SGB6452|t__SGB6452"	-3.50857109997803	0.0391827552981102	0.493647529776895	"diagnosis"
"s__Luxibacter_massiliensis|t__SGB4592"	-5.87489708919561	0.0404113883974116	0.504313059602065	"diagnosis"
"s__GGB269_SGB376|t__SGB376"	7.32657186276571	0.0405931137969242	0.504313059602065	"diagnosis"
"s__Ruthenibacterium_lactatiformans|t__SGB15271"	-3.40385769694964	0.0418892247686796	0.512100645297327	"diagnosis"
"s__Akkermansia_muciniphila|t__SGB9228"	7.80673726588125	0.0423302982724082	0.512100645297327	"diagnosis"
"s__GGB9620_SGB15068|t__SGB15068"	9.46498660620462	0.0424004641830001	0.512100645297327	"diagnosis"
"s__Eubacterium_sp_AF22_9|t__SGB5083"	9.9428913633066	0.0424617287641637	0.512100645297327	"diagnosis"
"s__GGB6612_SGB9346|t__SGB9346"	-14.7061546581741	0.0428829119915105	0.512100645297327	"diagnosis"
"s__Methanomassiliicoccaceae_archaeon_DOK|t__SGB381"	-10.7170807169043	0.0429374492982667	0.512100645297327	"diagnosis"
"s__Alloscardovia_omnicolens|t__SGB17300"	3.56344482608524	0.0433781668472016	0.513930731719494	"diagnosis"
"s__GGB9635_SGB15106|t__SGB15106"	-0.160405876684003	0.0458402500332635	0.539527679667819	"diagnosis"
"s__GGB58485_SGB80143|t__SGB80143"	-4.97703106218858	0.0467494057676497	0.541752166548856	"diagnosis"
"s__GGB4964_SGB6927|t__SGB6927_group"	4.3814423880665	0.0468104687012378	0.541752166548856	"diagnosis"
"s__GGB15850_SGB5785|t__SGB5785"	5.49070423267849	0.0472139869534951	0.541752166548856	"diagnosis"
"s__GGB9661_SGB15148|t__SGB15148"	8.76635001431202	0.0473081357654993	0.541752166548856	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15323"	7.93161355807588	0.0475935023065389	0.541752166548856	"diagnosis"
"s__GGB79973_SGB14341|t__SGB14341"	-7.75164056626643	0.0478461946979985	0.541752166548856	"diagnosis"
"s__GGB36590_SGB1964|t__SGB1964"	-10.6220994126661	0.0483557484859825	0.544078201518381	"diagnosis"
"s__GGB4598_SGB6360|t__SGB6360"	-5.71761494720221	0.0499315998405642	0.558297700717308	"diagnosis"
"s__GGB9616_SGB15052|t__SGB15052"	-6.01499739532047	0.0505540866030355	0.561746962315718	"diagnosis"
"s__GGB3538_SGB4728|t__SGB4728"	9.06581093959276	0.0512318537179961	0.565764112972192	"diagnosis"
"s__Blautia_SGB15070|t__SGB15070"	-4.95172445037671	0.0522079507203216	0.573006281218745	"diagnosis"
"s__GGB3340_SGB4419|t__SGB4419"	3.00096145034737	0.0526111372764024	0.57391051577734	"diagnosis"
"s__Sphingomonas_SGB1787|t__SGB1787"	-5.55362342006456	0.0531082681221722	0.575822373761006	"diagnosis"
"s__GGB3341_SGB4420|t__SGB4420"	7.96551482369827	0.0545508002965747	0.587899889943206	"diagnosis"
"s__Longibaculum_muris|t__SGB6769"	9.52569601415195	0.0551141289659623	0.590414231856926	"diagnosis"
"s__Blautia_producta|t__SGB4791"	8.39639918585608	0.0569758753044228	0.606725243569121	"diagnosis"
"s__Bacteroides_caecigallinarum|t__SGB1885"	-3.0518637758946	0.0585475473550622	0.609289510447638	"diagnosis"
"s__Prevotella_corporis|t__SGB1504"	-7.2692790358384	0.0587917809613667	0.609289510447638	"diagnosis"
"s__GGB36267_SGB14177|t__SGB14177"	8.53397221035989	0.0589521758252156	0.609289510447638	"diagnosis"
"s__GGB3511_SGB4688|t__SGB4688"	-6.05130688480895	0.0597685169306546	0.609289510447638	"diagnosis"
"s__GGB3001_SGB3992|t__SGB3992"	-11.8436821174036	0.0601653174057431	0.609289510447638	"diagnosis"
"s__Clostridium_neonatale|t__SGB6169"	-6.22878273739102	0.0602952456314371	0.609289510447638	"diagnosis"
"s__Enterobacter_hormaechei|t__SGB10130"	7.9489965106652	0.060380215215854	0.609289510447638	"diagnosis"
"s__GGB3057_SGB4059|t__SGB4059"	7.88672824810956	0.0603903010935328	0.609289510447638	"diagnosis"
"s__Collinsella_SGB14987|t__SGB14987"	8.22831394820313	0.060528330526684	0.609289510447638	"diagnosis"
"s__GGB79996_SGB6411|t__SGB6411"	1.86029029434608	0.0606224331244716	0.609289510447638	"diagnosis"
"s__GGB1460_SGB2023|t__SGB2023"	5.26348644182709	0.0612837212204968	0.609641203915787	"diagnosis"
"s__GGB3321_SGB4394|t__SGB4394"	8.0228721586074	0.0617103208561364	0.609641203915787	"diagnosis"
"s__Streptococcus_vestibularis|t__SGB8003"	7.9232626498106	0.0619160163175684	0.609641203915787	"diagnosis"
"s__GGB4585_SGB4995|t__SGB4995"	4.03872731914306	0.0623102219109511	0.609641203915787	"diagnosis"
"s__Clostridium_transplantifaecale|t__SGB29435"	-5.28069521505274	0.0623612858113969	0.609641203915787	"diagnosis"
"s__Dorea_phocaeensis|t__SGB4572"	8.29496692035408	0.0645886083231052	0.626065696861862	"diagnosis"
"s__GGB80073_SGB9385|t__SGB9385"	6.22066915806796	0.0647412822355754	0.626065696861862	"diagnosis"
"s__GGB3534_SGB4722|t__SGB4722"	7.92037818362102	0.0662940367702019	0.627879833720615	"diagnosis"
"s__Fournierella_massiliensis|t__SGB15280"	4.14341720799047	0.0663031651391605	0.627879833720615	"diagnosis"
"s__Klebsiella_variicola|t__SGB10114"	7.15822006968254	0.0665459709068664	0.627879833720615	"diagnosis"
"s__Arthrospira_platensis|t__SGB13412"	3.98236155083701	0.0668828487592585	0.627879833720615	"diagnosis"
"s__Fusobacterium_gonidiaformans|t__SGB5985"	0.26817611892021	0.0672313454280869	0.627879833720615	"diagnosis"
"s__Lachnoclostridium_sp_An14|t__SGB4729"	7.7593571890889	0.0675232560612525	0.627879833720615	"diagnosis"
"s__GGB3032_SGB4027|t__SGB4027"	7.45315894929188	0.0675409612925544	0.627879833720615	"diagnosis"
"s__GGB1458_SGB2021|t__SGB2021"	-10.3444930305731	0.0679498229844068	0.627879833720615	"diagnosis"
"s__Bacteroides_fluxus|t__SGB1835"	9.02845663123575	0.0680875839808828	0.627879833720615	"diagnosis"
"s__Blautia_faecicola|t__SGB4867"	7.24043154081881	0.0697336192177229	0.636684049026431	"diagnosis"
"s__Prevotella_buccalis|t__SGB1517"	-6.71223865032621	0.0697540936887538	0.636684049026431	"diagnosis"
"s__GGB1495_SGB2071|t__SGB2071"	5.80696515661515	0.0701279638701922	0.636847347024233	"diagnosis"
"s__Enterococcus_faecalis|t__SGB7962"	2.02997685119145	0.0713075022529847	0.641448309915684	"diagnosis"
"s__Peptoniphilus_coxii|t__SGB6734"	2.98384965481079	0.0713517125059928	0.641448309915684	"diagnosis"
"s__Peptoniphilus_harei|t__SGB6697"	2.93236735970224	0.0725635004986338	0.646576439517948	"diagnosis"
"s__GGB9092_SGB14022|t__SGB14022"	7.08904747726223	0.0726449772739561	0.646576439517948	"diagnosis"
"s__GGB3637_SGB4930|t__SGB4930"	6.72428761567252	0.0731122067999423	0.647513554282657	"diagnosis"
"s__GGB9623_SGB15075|t__SGB15075"	1.86848167991676	0.0738179966796547	0.647600465922574	"diagnosis"
"s__Citrobacter_freundii|t__SGB10083"	2.94335242298396	0.0744834644477162	0.647600465922574	"diagnosis"
"s__Collinsella_SGB14861|t__SGB14861"	-5.50875462490448	0.0746060816118401	0.647600465922574	"diagnosis"
"s__GGB3653_SGB4964|t__SGB4964"	-4.06949987653289	0.0747662819188979	0.647600465922574	"diagnosis"
"s__GGB79634_SGB5832|t__SGB5832"	6.48856263155432	0.0750324330834474	0.647600465922574	"diagnosis"
"s__Candidatus_Pseudoscilispira_faecavium|t__SGB63239"	3.63888072126622	0.075293961381719	0.647600465922574	"diagnosis"
"s__Candidatus_Woodwardibium_gallinarum|t__SGB14953"	1.85954163387196	0.0763533395387594	0.653375409430372	"diagnosis"
"s__Candidatus_Pseudoruminococcus_merdavium|t__SGB71394"	-4.45737944248451	0.0766958278258122	0.653375409430372	"diagnosis"
"s__Enterobacter_cancerogenus|t__SGB10128"	3.86742314052977	0.0774725528093403	0.654591690722454	"diagnosis"
"s__Citrobacter_freundii|t__SGB10084"	6.65966427087835	0.0779822342351549	0.654591690722454	"diagnosis"
"s__Candidatus_Gallimonas_merdigallinarum|t__SGB59507"	7.30001709239053	0.0780950189777102	0.654591690722454	"diagnosis"
"s__GGB79678_SGB4833|t__SGB4833"	7.26047208255187	0.0783359434281965	0.654591690722454	"diagnosis"
"s__Intestinimonas_SGB15130|t__SGB15130"	1.17791246100966	0.0786680902768741	0.654591690722454	"diagnosis"
"s__Faecalicoccus_SGB6321|t__SGB6321"	7.21159421570382	0.0790856695248421	0.655019735092326	"diagnosis"
"s__Porphyromonas_SGB1983|t__SGB1983"	5.59900469787909	0.0797684856598485	0.657630510808612	"diagnosis"
"s__Parabacteroides_johnsonii|t__SGB1948"	-11.5831124163306	0.0803272036360953	0.659198932591626	"diagnosis"
"s__Candidatus_Heritagella_intestinalis|t__SGB63346"	-3.63202254997954	0.0819130526076719	0.666141403014245	"diagnosis"
"s__GGB51647_SGB4348|t__SGB4348"	11.3879060203695	0.082062772758845	0.666141403014245	"diagnosis"
"s__GGB79916_SGB4587|t__SGB4587"	-4.80822587070134	0.082416054953354	0.666141403014245	"diagnosis"
"s__Acinetobacter_ursingii|t__SGB10372"	-4.16897615890646	0.0826626000386599	0.666141403014245	"diagnosis"
"s__GGB33512_SGB15203|t__SGB15203"	2.01409995043265	0.0838661119538457	0.672809301728386	"diagnosis"
"s__Sutterella_seckii|t__SGB9297"	6.02402765090652	0.085629592934739	0.6791406822232	"diagnosis"
"s__GGB1527_SGB59850|t__SGB59850"	6.84252785546505	0.0856552865436097	0.6791406822232	"diagnosis"
"s__Massilimicrobiota_sp_An134|t__SGB6768"	-4.35001847243515	0.08579418344463	0.6791406822232	"diagnosis"
"s__GGB32387_SGB47381|t__SGB47381"	6.11761265707579	0.0884375876548069	0.69397309621307	"diagnosis"
"s__GGB9522_SGB14921|t__SGB14921"	4.72053489619648	0.0884437484273784	0.69397309621307	"diagnosis"
"s__Alcaligenes_SGB14037|t__SGB14037"	5.19346320539538	0.0894117240906578	0.698504691695139	"diagnosis"
"s__Clostridium_sp_AM49_4BH|t__SGB4652"	-4.32837812086601	0.0920937263682096	0.714909012277123	"diagnosis"
"s__GGB9348_SGB14315|t__SGB14315"	1.86553851899064	0.0930703059727738	0.714909012277123	"diagnosis"
"s__GGB3627_SGB4906|t__SGB4906"	6.13266290391766	0.0932876260665972	0.714909012277123	"diagnosis"
"s__GGB36599_SGB9269|t__SGB9269"	6.37286137814893	0.0941694726680606	0.714909012277123	"diagnosis"
"s__Dysgonomonas_capnocytophagoides|t__SGB1769"	2.06083540117277	0.094332141626762	0.714909012277123	"diagnosis"
"s__Frisingicoccus_caecimuris|t__SGB4675"	5.83561330776088	0.0943703590320069	0.714909012277123	"diagnosis"
"s__GGB9101_SGB14033|t__SGB14033"	6.01426288885883	0.0945924388896018	0.714909012277123	"diagnosis"
