"feature"	"coef_AB"	"pval_AB"	"qval_AB"	"metadata"
"s__Agathobaculum_sp_Marseille_P7918|t__SGB29299"	NA	1	1	"diagnosis"
"s__Aggregatibacter_kilianii|t__SGB9731"	NA	1	1	"diagnosis"
"s__Aggregatibacter_segnis|t__SGB9737_group"	NA	1	1	"diagnosis"
"s__Aggregatibacter_sp_2125159857|t__SGB9733"	NA	1	1	"diagnosis"
"s__Akkermansia_muciniphila|t__SGB26761"	NA	1	1	"diagnosis"
"s__Akkermansia_muciniphila|t__SGB9226"	-1.43576526540516	0.000400688027740158	0.00726361214701008	"diagnosis"
"s__Akkermansia_muciniphila|t__SGB9227"	NA	1	1	"diagnosis"
"s__Akkermansia_muciniphila|t__SGB9228"	NA	1	1	"diagnosis"
"s__Akkermansia_sp_BIOML_A40|t__SGB9223"	NA	1	1	"diagnosis"
"s__Akkermansia_sp_KLE1798|t__SGB9224"	-1.4053629782399	0.00135513149448025	0.0202027520302097	"diagnosis"
"s__Alcaligenes_SGB14037|t__SGB14037"	NA	1	1	"diagnosis"
"s__Alistipes_communis|t__SGB2290"	-0.728519210470655	0.000661642143296911	0.0108594293060383	"diagnosis"
"s__Alistipes_dispar|t__SGB2311"	-1.07671967646457	0.000648812585527516	0.0108479038832591	"diagnosis"
"s__Alistipes_finegoldii|t__SGB2301"	0.176373933772933	0.582358497359171	1	"diagnosis"
"s__Alistipes_ihumii|t__SGB2328"	-0.0846393526297105	0.558873815506485	1	"diagnosis"
"s__Alistipes_indistinctus|t__SGB2325"	0.469784833786643	0.00137448624681414	0.0203219495500041	"diagnosis"
"s__Alistipes_onderdonkii|t__SGB2303"	0.0423850766888911	0.901196120133716	1	"diagnosis"
"s__Alistipes_provencensis|t__SGB2298"	NA	1	1	"diagnosis"
"s__Alistipes_putredinis|t__SGB2318"	-0.215457725367055	0.627995448810828	1	"diagnosis"
"s__Alistipes_senegalensis|t__SGB2296"	-0.724787368676108	0.000655468803926905	0.0108577193539373	"diagnosis"
"s__Alistipes_SGB2300|t__SGB2300"	NA	1	1	"diagnosis"
"s__Alistipes_SGB2302|t__SGB2302"	0.825867086816418	3.47831384415028e-05	0.00109170236266401	"diagnosis"
"s__Alistipes_SGB2310|t__SGB2310"	NA	1	1	"diagnosis"
"s__Alistipes_SGB2313|t__SGB2313"	-1.45420251798426	0.00120957256305177	0.0185285886693509	"diagnosis"
"s__Alistipes_SGB5086|t__SGB5086"	NA	1	1	"diagnosis"
"s__Alistipes_shahii|t__SGB2295"	-0.186019583296499	0.487530602032984	1	"diagnosis"
"s__Alistipes_sp_AF17_16|t__SGB2326"	-0.383801234120063	0.00838166910640916	0.0993033512010992	"diagnosis"
"s__Alistipes_sp_D31t1_170403_E11|t__SGB2293"	NA	1	1	"diagnosis"
"s__Alistipes_timonensis|t__SGB2299"	-0.0362885521803884	0.503593341571617	1	"diagnosis"
"s__Allisonella_histaminiformans|t__SGB5843"	NA	1	1	"diagnosis"
"s__Alloprevotella_SGB1410|t__SGB1410"	NA	1	1	"diagnosis"
"s__Alloprevotella_SGB77721|t__SGB77721"	NA	1	1	"diagnosis"
"s__Alloprevotella_tannerae|t__SGB1411"	NA	1	1	"diagnosis"
"s__Alloscardovia_omnicolens|t__SGB17300"	NA	1	1	"diagnosis"
"s__Amedibacillus_dolichus|t__SGB4035"	NA	1	1	"diagnosis"
"s__Amedibacterium_intestinale|t__SGB4042"	NA	1	1	"diagnosis"
"s__Anaerobutyricum_hallii|t__SGB4532"	-0.0473099771088345	0.851183042179419	1	"diagnosis"
"s__Anaerobutyricum_soehngenii|t__SGB4537"	-0.445381926848097	0.00581527180002017	0.0722466753488617	"diagnosis"
"s__Anaerococcus_lactolyticus|t__SGB6669"	NA	1	1	"diagnosis"
"s__Anaerococcus_obesiensis|t__SGB6661"	NA	1	1	"diagnosis"
"s__Anaerococcus_SGB15407|t__SGB15407"	NA	1	1	"diagnosis"
"s__Anaerococcus_SGB4342|t__SGB4342"	NA	1	1	"diagnosis"
"s__Anaerococcus_SGB53821|t__SGB53821"	-0.306265493192191	0.0712099752438467	0.621437296152399	"diagnosis"
"s__Anaerococcus_SGB6671|t__SGB6671"	NA	1	1	"diagnosis"
"s__Anaerocolumna_aminovalerica|t__SGB4432"	NA	1	1	"diagnosis"
"s__Anaerofilum_sp_An201|t__SGB15276"	NA	1	1	"diagnosis"
"s__Anaerofilum_sp_BX8|t__SGB79822"	NA	1	1	"diagnosis"
"s__Anaerofustis_stercorihominis|t__SGB4116"	NA	1	1	"diagnosis"
"s__Anaerofustis_stercorihominis|t__SGB49059"	NA	1	1	"diagnosis"
"s__Anaeroglobus_geminatus|t__SGB5870"	NA	1	1	"diagnosis"
"s__Anaeromassilibacillus_sp_An172|t__SGB4271"	NA	1	1	"diagnosis"
"s__Anaeromassilibacillus_sp_An250|t__SGB14894"	0.628617665151166	0.00630363288094695	0.0767156409796877	"diagnosis"
"s__Anaerosacchariphilus_sp_NSJ_68|t__SGB4772"	NA	1	1	"diagnosis"
"s__Anaerosporobacter_mobilis|t__SGB4526"	NA	1	1	"diagnosis"
"s__Anaerostipes_butyraticus|t__SGB59711"	NA	1	1	"diagnosis"
"s__Anaerostipes_caccae|t__SGB4529"	-0.975308408831354	0.00423820945608244	0.0549431646154455	"diagnosis"
"s__Anaerostipes_hadrus|t__SGB4540_group"	0.0378210350467265	0.90281425931992	1	"diagnosis"
"s__Anaerostipes_hadrus|t__SGB4547"	0.530639874884607	0.0588007203643733	0.51881138789623	"diagnosis"
"s__Anaerostipes_hominis|t__SGB4530"	NA	1	1	"diagnosis"
"s__Anaerostipes_rhamnosivorans|t__SGB4528"	NA	1	1	"diagnosis"
"s__Anaerostipes_sp_494a|t__SGB25438"	NA	1	1	"diagnosis"
"s__Anaerostipes_sp_992a|t__SGB4685"	NA	1	1	"diagnosis"
"s__Anaerotignum_faecicola|t__SGB5190"	-0.84406547021525	0.000132248898070603	0.00288528388595498	"diagnosis"
"s__Anaerotignum_lactatifermentans|t__SGB5193"	-0.688820352106429	0.0082353000977534	0.0988788716434955	"diagnosis"
"s__Anaerotruncus_colihominis|t__SGB14963"	0.864051230023083	5.37715158436481e-05	0.00150308190381698	"diagnosis"
"s__Anaerotruncus_massiliensis|t__SGB14965"	NA	1	1	"diagnosis"
"s__Anaerotruncus_rubiinfantis|t__SGB25416"	NA	1	1	"diagnosis"
"s__Angelakisella_massiliensis|t__SGB29321"	NA	1	1	"diagnosis"
"s__Arthrospira_platensis|t__SGB13412"	NA	1	1	"diagnosis"
"s__Atopobium_deltae|t__SGB988"	NA	1	1	"diagnosis"
"s__Atopobium_SGB47944|t__SGB47944"	NA	1	1	"diagnosis"
"s__Bacillus_sp_AP8|t__SGB30210"	NA	1	1	"diagnosis"
"s__Bacteria_unclassified_SGB54310|t__SGB54310"	NA	1	1	"diagnosis"
"s__Bacteroidales_bacterium_KA00251|t__SGB3324"	NA	1	1	"diagnosis"
"s__Bacteroidales_bacterium|t__SGB1961"	NA	1	1	"diagnosis"
"s__Bacteroides_acidifaciens|t__SGB48548"	NA	1	1	"diagnosis"
"s__Bacteroides_bouchesdurhonensis|t__SGB3321"	NA	1	1	"diagnosis"
"s__Bacteroides_caccae|t__SGB1877"	0.453678943261579	0.17197535895734	1	"diagnosis"
"s__Bacteroides_caecigallinarum|t__SGB1885"	NA	1	1	"diagnosis"
"s__Bacteroides_caecigallinarum|t__SGB1886"	NA	1	1	"diagnosis"
"s__Bacteroides_caecigallinarum|t__SGB95339"	NA	1	1	"diagnosis"
"s__Bacteroides_cellulosilyticus|t__SGB1844"	-0.143722950341639	0.682707762530803	1	"diagnosis"
"s__Bacteroides_clarus|t__SGB1832"	1.03273125096604	9.92870911666258e-05	0.00234094780628988	"diagnosis"
"s__Bacteroides_congonensis|t__SGB1878"	NA	1	1	"diagnosis"
"s__Bacteroides_cutis|t__SGB1827"	NA	1	1	"diagnosis"
"s__Bacteroides_eggerthii|t__SGB1829"	0.288140590304145	0.514151874700701	1	"diagnosis"
"s__Bacteroides_faecis|t__SGB1860"	-0.113688323497087	0.811979399227701	1	"diagnosis"
"s__Bacteroides_finegoldii|t__SGB1862"	0.852148708423074	0.129143288732205	1	"diagnosis"
"s__Bacteroides_fluxus|t__SGB1835"	3.9450503716758	0.0170183222493879	0.180152535527545	"diagnosis"
"s__Bacteroides_fragilis|t__SGB1853"	4.33049249528044	5.052145813755e-08	7.4952543238118e-06	"diagnosis"
"s__Bacteroides_fragilis|t__SGB1855"	-0.175086780588956	0.561815852597195	1	"diagnosis"
"s__Bacteroides_gallinarum|t__SGB1828"	-0.201480601231794	0.0574003735632294	0.513446341523087	"diagnosis"
"s__Bacteroides_heparinolyticus|t__SGB21589"	NA	1	1	"diagnosis"
"s__Bacteroides_ilei|t__SGB1889"	NA	1	1	"diagnosis"
"s__Bacteroides_intestinalis|t__SGB1845"	NA	1	1	"diagnosis"
"s__Bacteroides_intestinalis|t__SGB1846"	-0.124629395115204	0.547439637709328	1	"diagnosis"
"s__Bacteroides_mediterraneensis|t__SGB1910"	NA	1	1	"diagnosis"
"s__Bacteroides_mediterraneensis|t__SGB1912"	NA	1	1	"diagnosis"
"s__Bacteroides_ndongoniae|t__SGB1821"	NA	1	1	"diagnosis"
"s__Bacteroides_nordii|t__SGB1858"	0.379148276179869	0.130627193744039	1	"diagnosis"
"s__Bacteroides_oleiciplenus|t__SGB1850"	NA	1	1	"diagnosis"
"s__Bacteroides_ovatus|t__SGB1871"	0.559663977490992	0.257174166407585	1	"diagnosis"
"s__Bacteroides_pectinophilus|t__SGB5068"	NA	1	1	"diagnosis"
"s__Bacteroides_rodentium|t__SGB27789"	NA	1	1	"diagnosis"
"s__Bacteroides_salyersiae|t__SGB1857"	-1.62800832733739	1.57742916167568e-07	1.56778931679877e-05	"diagnosis"
"s__Bacteroides_SGB15210|t__SGB15210"	NA	1	1	"diagnosis"
"s__Bacteroides_SGB63885|t__SGB63885"	NA	1	1	"diagnosis"
"s__Bacteroides_sp_AF39_11AC|t__SGB1847"	NA	1	1	"diagnosis"
"s__Bacteroides_sp_AM10_21B|t__SGB1831"	-0.358579613005861	0.000537401685532924	0.00915630109922287	"diagnosis"
"s__Bacteroides_sp_L10_4|t__SGB27790"	0.932655420424037	1	1	"diagnosis"
"s__Bacteroides_stercorirosoris|t__SGB1848"	NA	1	1	"diagnosis"
"s__Bacteroides_stercoris|t__SGB1830"	-0.106751494103419	0.816300305251192	1	"diagnosis"
"s__Bacteroides_thetaiotaomicron|t__SGB1861"	-0.15949637583001	0.692583985868271	1	"diagnosis"
"s__Bacteroides_uniformis|t__SGB1836"	0.128350814556822	0.751938043559955	1	"diagnosis"
"s__Bacteroides_xylanisolvens|t__SGB1867"	-0.433775982466331	0.310484523776889	1	"diagnosis"
"s__Bacteroidetes_oral_taxon_274|t__SGB1341"	NA	1	1	"diagnosis"
"s__Bariatricus_massiliensis|t__SGB4006"	NA	1	1	"diagnosis"
"s__Barnesiella_intestinihominis|t__SGB1965"	-2.08174842619788	1.33404470183542e-09	4.08258607337235e-07	"diagnosis"
"s__Bifidobacterium_adolescentis|t__SGB17244_group"	-0.963947427546195	0.00620401625343734	0.0760204457356123	"diagnosis"
"s__Bifidobacterium_angulatum|t__SGB17231"	NA	1	1	"diagnosis"
"s__Bifidobacterium_animalis|t__SGB17278"	NA	1	1	"diagnosis"
"s__Bifidobacterium_asteroides|t__SGB21502"	NA	1	1	"diagnosis"
"s__Bifidobacterium_bifidum|t__SGB17256"	-2.44664771110065	3.47336303431097e-10	2.85428086156108e-07	"diagnosis"
"s__Bifidobacterium_breve|t__SGB17247"	NA	1	1	"diagnosis"
"s__Bifidobacterium_canis|t__SGB53847"	NA	1	1	"diagnosis"
"s__Bifidobacterium_catenulatum|t__SGB17241"	NA	1	1	"diagnosis"
"s__Bifidobacterium_coryneforme|t__SGB17293"	NA	1	1	"diagnosis"
"s__Bifidobacterium_dentium|t__SGB17234"	NA	1	1	"diagnosis"
"s__Bifidobacterium_longum|t__SGB17248"	-0.992139982334929	0.0028912947677474	0.0391858056022734	"diagnosis"
"s__Bifidobacterium_moukalabense|t__SGB17235"	NA	1	1	"diagnosis"
"s__Bifidobacterium_pseudocatenulatum|t__SGB17237"	-2.01511082091487	2.2684268111184e-07	2.02910778254541e-05	"diagnosis"
"s__Bifidobacterium_pseudolongum|t__SGB17279"	NA	1	1	"diagnosis"
"s__Bifidobacterium_pullorum|t__SGB17264"	NA	1	1	"diagnosis"
"s__Bilophila_SGB15450|t__SGB15450"	NA	1	1	"diagnosis"
"s__Bilophila_SGB15451|t__SGB15451"	NA	1	1	"diagnosis"
"s__Bilophila_wadsworthia|t__SGB15452"	0.299332007759766	0.20363889315047	1	"diagnosis"
"s__Bittarella_massiliensis|t__SGB7263"	NA	1	1	"diagnosis"
"s__Bittarella_massiliensis|t__SGB95006"	NA	1	1	"diagnosis"
"s__Blastocystis_sp_subtype_1|t__EUK944036"	NA	1	1	"diagnosis"
"s__Blautia_argi|t__SGB4797"	NA	1	1	"diagnosis"
"s__Blautia_caecimuris|t__SGB4862"	1.27745757258392	0.000151102137190057	0.0032181157551549	"diagnosis"
"s__Blautia_faecicola|t__SGB4867"	NA	1	1	"diagnosis"
"s__Blautia_faecis|t__SGB4820"	-0.243529506474175	0.262204660718218	1	"diagnosis"
"s__Blautia_glucerasea|t__SGB4804"	1.74123029325753	1	1	"diagnosis"
"s__Blautia_glucerasea|t__SGB4816"	NA	1	1	"diagnosis"
"s__Blautia_hansenii|t__SGB4794"	NA	1	1	"diagnosis"
"s__Blautia_hansenii|t__SGB4798"	NA	1	1	"diagnosis"
"s__Blautia_hydrogenotrophica|t__SGB4677"	1.08505368504031	1	1	"diagnosis"
"s__Blautia_liquoris|t__SGB79691"	NA	1	1	"diagnosis"
"s__Blautia_luti|t__SGB4829"	NA	1	1	"diagnosis"
"s__Blautia_luti|t__SGB4832"	NA	1	1	"diagnosis"
"s__Blautia_marasmi|t__SGB29381"	NA	1	1	"diagnosis"
"s__Blautia_massiliensis|t__SGB4826"	-0.356222347601207	0.0504218441376581	0.460227954909543	"diagnosis"
"s__Blautia_obeum|t__SGB4809"	-0.48412733434306	0.00119477437050737	0.0185285886693509	"diagnosis"
"s__Blautia_obeum|t__SGB4810"	NA	1	1	"diagnosis"
"s__Blautia_obeum|t__SGB4811"	0.396977781066718	0.0838841749542786	0.712364314937057	"diagnosis"
"s__Blautia_producta|t__SGB4785"	-1.45333995621716	1	1	"diagnosis"
"s__Blautia_producta|t__SGB4786"	NA	1	1	"diagnosis"
"s__Blautia_producta|t__SGB4791"	NA	1	1	"diagnosis"
"s__Blautia_schinkii|t__SGB4825"	NA	1	1	"diagnosis"
"s__Blautia_SGB15070|t__SGB15070"	-0.25119317915406	1	1	"diagnosis"
"s__Blautia_SGB4793|t__SGB4793"	NA	1	1	"diagnosis"
"s__Blautia_SGB4815|t__SGB4815"	NA	1	1	"diagnosis"
"s__Blautia_sp_An249|t__SGB7262"	NA	1	1	"diagnosis"
"s__Blautia_sp_An81|t__SGB4800"	NA	1	1	"diagnosis"
"s__Blautia_sp_Marseille_P3087|t__SGB4813"	NA	1	1	"diagnosis"
"s__Blautia_sp_Marseille_P3201T|t__SGB29394"	NA	1	1	"diagnosis"
"s__Blautia_sp_MSK_20_85|t__SGB4828"	0.916859458772902	5.3201288362219e-06	0.000221342104372116	"diagnosis"
"s__Blautia_sp_OF03_15BH|t__SGB4779"	NA	1	1	"diagnosis"
"s__Blautia_stercoris|t__SGB4788"	-1.61245761415967	0.00444770049158178	0.05683525842457	"diagnosis"
"s__Blautia_wexlerae|t__SGB4831"	NA	1	1	"diagnosis"
"s__Blautia_wexlerae|t__SGB4837"	-0.561857992919428	0.111847504871047	0.922097632323979	"diagnosis"
"s__Brachyspira_pilosicoli|t__SGB5969"	NA	1	1	"diagnosis"
"s__Brevibacterium_paucivorans|t__SGB17209"	NA	1	1	"diagnosis"
"s__Brevundimonas_vesicularis|t__SGB11742_group"	NA	1	1	"diagnosis"
"s__Butyricicoccus_SGB14990|t__SGB14990"	NA	1	1	"diagnosis"
"s__Butyricicoccus_sp_AM29_23AC|t__SGB14991"	9.81267308850715	9.94477547669262e-05	0.00234094780628988	"diagnosis"
"s__Butyricimonas_faecalis|t__SGB1782"	NA	1	1	"diagnosis"
"s__Butyricimonas_faecihominis|t__SGB1786"	NA	1	1	"diagnosis"
"s__Butyricimonas_paravirosa|t__SGB1785"	NA	1	1	"diagnosis"
"s__Butyricimonas_SGB15260|t__SGB15260"	-0.0431468646555355	0.800095583609313	1	"diagnosis"
"s__Butyricimonas_SGB15266|t__SGB15266"	NA	1	1	"diagnosis"
"s__Butyricimonas_sp_Marseille_P3923|t__SGB1778"	NA	1	1	"diagnosis"
"s__Butyricimonas_synergistica|t__SGB27742"	NA	1	1	"diagnosis"
"s__Butyricimonas_virosa|t__SGB1784"	-0.889002639152957	7.6807400849131e-05	0.00188230739889172	"diagnosis"
"s__Butyrivibrio_crossotus|t__SGB5065"	NA	1	1	"diagnosis"
"s__Campylobacter_concisus|t__SGB19351_group"	NA	1	1	"diagnosis"
"s__Campylobacter_curvus|t__SGB19334"	NA	1	1	"diagnosis"
"s__Campylobacter_gracilis|t__SGB19300"	NA	1	1	"diagnosis"
"s__Campylobacter_helveticus|t__SGB19438"	NA	1	1	"diagnosis"
"s__Campylobacter_hominis|t__SGB19429"	NA	1	1	"diagnosis"
"s__Campylobacter_massiliensis|t__SGB77300"	NA	1	1	"diagnosis"
"s__Campylobacter_SGB1823|t__SGB1823"	NA	1	1	"diagnosis"
"s__Campylobacter_SGB19337|t__SGB19337"	NA	1	1	"diagnosis"
"s__Campylobacter_showae|t__SGB28525"	NA	1	1	"diagnosis"
"s__Campylobacter_upsaliensis|t__SGB19439"	NA	1	1	"diagnosis"
"s__Campylobacter_ureolyticus|t__SGB19431"	NA	1	1	"diagnosis"
"s__Candidatus_Allobutyricicoccus_pentlandensis|t__SGB14180"	NA	1	1	"diagnosis"
"s__Candidatus_Allochristensenella_caecavium|t__SGB63369"	0.738055508068364	0.0769429864108439	0.664980689318839	"diagnosis"
"s__Candidatus_Alloruminococcus_vanvlietii|t__SGB63325"	NA	1	1	"diagnosis"
"s__Candidatus_Alloscillospira_gallinarum|t__SGB59576"	NA	1	1	"diagnosis"
"s__Candidatus_Aristotella_avistercoris|t__SGB63343"	NA	1	1	"diagnosis"
"s__Candidatus_Avimonas_merdigallinarum|t__SGB63352"	NA	1	1	"diagnosis"
"s__Candidatus_Avimonas_narfia|t__SGB14941"	NA	1	1	"diagnosis"
"s__Candidatus_Avispirillum_faecium|t__SGB14194"	NA	1	1	"diagnosis"
"s__Candidatus_Borkfalkia_ceftriaxoniphila|t__SGB14027"	-1.3009041829458	3.18145034456636e-06	0.000149779333327085	"diagnosis"
"s__Candidatus_Catenibacterium_tridentinum|t__SGB6783"	NA	1	1	"diagnosis"
"s__Candidatus_Cibionibacter_quicibialis|t__SGB15286"	-0.220936446921944	0.423630732364485	1	"diagnosis"
"s__Candidatus_Flemingibacterium_merdigallinarum|t__SGB59451"	NA	1	1	"diagnosis"
"s__Candidatus_Gallimonas_faecium|t__SGB54320"	NA	1	1	"diagnosis"
"s__Candidatus_Gallimonas_intestinalis|t__SGB54318"	NA	1	1	"diagnosis"
"s__Candidatus_Gallimonas_merdae|t__SGB54319"	NA	1	1	"diagnosis"
"s__Candidatus_Gallimonas_merdigallinarum|t__SGB59507"	NA	1	1	"diagnosis"
"s__Candidatus_Gastranaerophilales_bacterium|t__SGB8601"	-1.72890083474894	0.0185512402088291	0.1940828580912	"diagnosis"
"s__Candidatus_Geddesella_stercoravicola|t__SGB14262"	NA	1	1	"diagnosis"
"s__Candidatus_Harrysmithimonas_galli|t__SGB63691"	NA	1	1	"diagnosis"
"s__Candidatus_Heritagella_gallinarum|t__SGB63347"	NA	1	1	"diagnosis"
"s__Candidatus_Heritagella_intestinalis|t__SGB63346"	NA	1	1	"diagnosis"
"s__Candidatus_Heteroclostridium_caecigallinarum|t__SGB61601"	NA	1	1	"diagnosis"
"s__Candidatus_Heteroscilispira_lomanii|t__SGB63278"	NA	1	1	"diagnosis"
"s__Candidatus_Howiella_intestinavium|t__SGB63345"	NA	1	1	"diagnosis"
"s__Candidatus_Metalachnospira_gallinarum|t__SGB5181"	NA	1	1	"diagnosis"
"s__Candidatus_Metalachnospira_SGB63370|t__SGB63370"	NA	1	1	"diagnosis"
"s__Candidatus_Metaruminococcus_caecorum|t__SGB63353"	NA	1	1	"diagnosis"
"s__Candidatus_Metaruminococcus_gallistercoris|t__SGB14870"	15.8209663806481	1	1	"diagnosis"
"s__Candidatus_Methanomassiliicoccus_intestinalis|t__SGB363"	NA	1	1	"diagnosis"
"s__Candidatus_Neoanaerotignum_tabaqchaliae|t__SGB59528"	NA	1	1	"diagnosis"
"s__Candidatus_Neochristensenella_gallicola|t__SGB14138"	NA	1	1	"diagnosis"
"s__Candidatus_Neoclostridium_roslinense|t__SGB14018"	NA	1	1	"diagnosis"
"s__Candidatus_Neoruminococcus_faecicola|t__SGB63342"	NA	1	1	"diagnosis"
"s__Candidatus_Parachristensenella_avicola|t__SGB58519"	NA	1	1	"diagnosis"
"s__Candidatus_Paralachnospira_caecorum|t__SGB59817"	NA	1	1	"diagnosis"
"s__Candidatus_Pararuminococcus_gallinarum|t__SGB63327"	NA	1	1	"diagnosis"
"s__Candidatus_Protoclostridium_gallicola|t__SGB14049"	NA	1	1	"diagnosis"
"s__Candidatus_Pseudobutyricicoccus_lothianensis|t__SGB14975"	NA	1	1	"diagnosis"
"s__Candidatus_Pseudolachnospira_avium|t__SGB59819"	NA	1	1	"diagnosis"
"s__Candidatus_Pseudoruminococcus_merdavium|t__SGB71394"	NA	1	1	"diagnosis"
"s__Candidatus_Pseudoscilispira_faecavium|t__SGB63239"	NA	1	1	"diagnosis"
"s__Candidatus_Pseudoscilispira_falkowii|t__SGB63238"	NA	1	1	"diagnosis"
"s__Candidatus_Roslinia_caecavium|t__SGB4165"	NA	1	1	"diagnosis"
"s__Candidatus_Saccharibacteria_unclassified_SGB19858|t__SGB19858"	NA	1	1	"diagnosis"
"s__Candidatus_Schneewindia_gallinarum|t__SGB63326"	NA	1	1	"diagnosis"
"s__Candidatus_Stoquefichus_sp_SB1|t__SGB6772"	NA	1	1	"diagnosis"
"s__Candidatus_Timburyella_SGB14166|t__SGB14166"	NA	1	1	"diagnosis"
"s__Candidatus_Woodwardibium_gallinarum|t__SGB14953"	NA	1	1	"diagnosis"
"s__Candidatus_Woodwardibium_SGB14954|t__SGB14954"	NA	1	1	"diagnosis"
"s__Caproicibacterium_amylolyticum|t__SGB14283"	NA	1	1	"diagnosis"
"s__Catenibacillus_scindens|t__SGB59869"	NA	1	1	"diagnosis"
"s__Catenibacterium_SGB4425|t__SGB4425_group"	1.33876598073037	0.000232728927813238	0.00457529727316355	"diagnosis"
"s__Cellulomonas_flavigena|t__SGB17151"	NA	1	1	"diagnosis"
"s__Cellulosilyticum_lentocellum|t__SGB6079"	NA	1	1	"diagnosis"
"s__Christensenella_hongkongensis|t__SGB14143"	NA	1	1	"diagnosis"
"s__Christensenella_intestinihominis|t__SGB71956"	NA	1	1	"diagnosis"
"s__Christensenella_minuta|t__SGB14142"	NA	1	1	"diagnosis"
"s__Christensenella_timonensis|t__SGB29340"	NA	1	1	"diagnosis"
"s__Christensenellaceae_bacterium_NSJ_44|t__SGB7265"	NA	1	1	"diagnosis"
"s__Christensenellaceae_bacterium_NSJ_53|t__SGB82545"	NA	1	1	"diagnosis"
"s__Christensenellaceae_bacterium_NSJ_63|t__SGB14127"	-1.656200055257	1.05200354830712e-07	1.25468956528096e-05	"diagnosis"
"s__Citrobacter_braakii|t__SGB10086"	NA	1	1	"diagnosis"
"s__Citrobacter_freundii|t__SGB10083"	NA	1	1	"diagnosis"
"s__Citrobacter_freundii|t__SGB10084"	NA	1	1	"diagnosis"
"s__Citrobacter_sp_RHBSTW_00671|t__SGB58199"	NA	1	1	"diagnosis"
"s__Citrobacter_telavivensis|t__SGB58550"	NA	1	1	"diagnosis"
"s__Cloacibacillus_evryensis|t__SGB15506"	NA	1	1	"diagnosis"
"s__Cloacibacillus_porcorum|t__SGB15507"	NA	1	1	"diagnosis"
"s__Clostridia_bacterium_UC5_1_1C12|t__SGB4032"	NA	1	1	"diagnosis"
"s__Clostridia_bacterium_UC5_1_1D1|t__SGB14995"	-0.139676695571518	0.080004036820019	0.684819243401981	"diagnosis"
"s__Clostridia_bacterium_UC5_1_1E11|t__SGB14895"	0.992495051956778	0.00343972445770583	0.0455827189247091	"diagnosis"
"s__Clostridia_bacterium|t__SGB4531"	NA	1	1	"diagnosis"
"s__Clostridia_bacterium|t__SGB5191"	0.853710062071439	1.45372045579101e-06	8.1272059231566e-05	"diagnosis"
"s__Clostridiaceae_bacterium_AF18_31LB|t__SGB4767"	0.118683402783939	0.67255178735604	1	"diagnosis"
"s__Clostridiaceae_bacterium_DONG20_135|t__SGB4034"	NA	1	1	"diagnosis"
"s__Clostridiaceae_bacterium_H8|t__SGB4133"	NA	1	1	"diagnosis"
"s__Clostridiaceae_bacterium_Marseille_Q3526|t__SGB4703"	NA	1	1	"diagnosis"
"s__Clostridiaceae_bacterium_Marseille_Q4143|t__SGB4768"	0.000896082836502499	0.996381318636455	1	"diagnosis"
"s__Clostridiaceae_bacterium_Marseille_Q4145|t__SGB4769"	NA	1	1	"diagnosis"
"s__Clostridiaceae_bacterium_Marseille_Q4149|t__SGB15091"	-0.0756054960216966	0.407664767239572	1	"diagnosis"
