"feature"	"coef_DS"	"pval_DS"	"qval_DS"	"metadata"
"s__Clostridium_sp_C5_48|t__SGB4752"	2.75432960802451	0.000125251425454619	0.00123318014189212	"diagnosis"
"s__Intestinimonas_butyriciproducens|t__SGB15126"	1.0161855834489	NA	NA	"diagnosis"
"s__GGB3819_SGB5184|t__SGB5184"	-1.97643130933773	NA	NA	"diagnosis"
"s__Clostridiales_bacterium_1_7_47FAA|t__SGB4763"	1.01678295005732	0.202068118190222	0.914919535139059	"diagnosis"
"s__GGB9513_SGB14911|t__SGB14911"	2.19191623747413	0.000743953120933994	0.00609709066150932	"diagnosis"
"s__Veillonellaceae_bacterium|t__SGB6961"	-1.21979565798581	0.110686821343628	0.522114363058205	"diagnosis"
"s__Anaerostipes_hadrus|t__SGB4540_group"	-1.19809298282306	NA	NA	"diagnosis"
"s__GGB79097_SGB105802|t__SGB105802"	-0.216919375684406	0.91647072045596	0.989739802220386	"diagnosis"
"s__Ruthenibacterium_lactatiformans|t__SGB15271"	-1.13009461475412	NA	NA	"diagnosis"
"s__Enterocloster_asparagiformis|t__SGB4724"	0.201057802943661	NA	NA	"diagnosis"
"s__Enterocloster_clostridioformis|t__SGB4759"	-0.0789827614318143	0.981062084994512	0.991197023889084	"diagnosis"
"s__Pseudoflavonifractor_sp_Marseille_P3106|t__SGB15142"	0.2718728816722	0.648593556871493	0.989739802220386	"diagnosis"
"s__Blautia_SGB4815|t__SGB4815"	-0.829018392980692	NA	NA	"diagnosis"
"s__Lachnotalea_sp_AF33_28|t__SGB5200"	0.29077419881437	NA	NA	"diagnosis"
"s__Phocaeicola_dorei|t__SGB1815"	0.812008791286848	NA	NA	"diagnosis"
"s__Clostridium_symbiosum|t__SGB4699"	0.785967321237414	NA	NA	"diagnosis"
"s__Anaerotruncus_colihominis|t__SGB14963"	0.00730360150744183	NA	NA	"diagnosis"
"s__Eisenbergiella_massiliensis|t__SGB4987"	-0.399731229652845	NA	NA	"diagnosis"
"s__Blautia_wexlerae|t__SGB4837"	-0.556092643241088	0.398611975560713	0.989739802220386	"diagnosis"
"s__Clostridiaceae_bacterium|t__SGB7256"	-0.333507021473063	NA	NA	"diagnosis"
"s__Enterocloster_citroniae|t__SGB4761"	-0.180910524043512	NA	NA	"diagnosis"
"s__Agathobaculum_butyriciproducens|t__SGB14993"	0.3648250526006	0.656900512019545	0.989739802220386	"diagnosis"
"s__Blautia_producta|t__SGB4791"	4.8860154245909	NA	NA	"diagnosis"
"s__Phocaeicola_sartorii|t__SGB1813"	0.379105633679731	0.510228080406831	0.989739802220386	"diagnosis"
"s__Hungatella_hathewayi|t__SGB4741"	-0.0575085665205825	NA	NA	"diagnosis"
"s__Clostridium_sp_chh4_2|t__SGB4743"	0.0607358343615841	0.869496167846407	0.989739802220386	"diagnosis"
"s__Bacteroides_stercoris|t__SGB1830"	-2.2433758657252	NA	NA	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15342"	-0.505511116422462	0.49300450008401	0.989739802220386	"diagnosis"
"s__Candidatus_Gastranaerophilales_bacterium|t__SGB8601"	-1.38515259332054	0.676829951930218	0.989739802220386	"diagnosis"
"s__Monoglobus_pectinilyticus|t__SGB4166"	0.631080019064661	0.849606982338362	0.989739802220386	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15323"	0.280229485720196	0.932888136416544	0.989739802220386	"diagnosis"
"s__Alistipes_putredinis|t__SGB2318"	-3.36769524603385	NA	NA	"diagnosis"
"s__Roseburia_hominis|t__SGB4936"	-1.32803808237201	NA	NA	"diagnosis"
"s__Bifidobacterium_longum|t__SGB17248"	-1.4300735971851	NA	NA	"diagnosis"
"s__Parabacteroides_distasonis|t__SGB1934"	0.36242452390849	0.616683733830302	0.989739802220386	"diagnosis"
"s__GGB3653_SGB4964|t__SGB4964"	-1.99824343211844	NA	NA	"diagnosis"
"s__Roseburia_inulinivorans|t__SGB4940"	-0.514351081444195	NA	NA	"diagnosis"
"s__Bacteroides_ovatus|t__SGB1871"	-0.78113468139043	NA	NA	"diagnosis"
"s__Eubacterium_siraeum|t__SGB4198"	-1.03717785299054	NA	NA	"diagnosis"
"s__Clostridium_leptum|t__SGB14853"	-1.98508719612957	NA	NA	"diagnosis"
"s__Parabacteroides_merdae|t__SGB1949"	-0.581280915230954	NA	NA	"diagnosis"
"s__Candidatus_Cibionibacter_quicibialis|t__SGB15286"	-1.98262754657278	NA	NA	"diagnosis"
"s__GGB9621_SGB15073|t__SGB15073"	0.101392353262228	NA	NA	"diagnosis"
"s__GGB31234_SGB14869|t__SGB14869"	0.0119213239734052	0.974332717993257	0.989739802220386	"diagnosis"
"s__Lachnospira_eligens|t__SGB5082"	-0.0655470764103572	0.940054278019958	0.989739802220386	"diagnosis"
"s__Longicatena_caecimuris|t__SGB4041"	-0.105207675577941	NA	NA	"diagnosis"
"s__Streptococcus_SGB14888|t__SGB14888"	-0.59212618327303	0.390246943624069	0.989739802220386	"diagnosis"
"s__Bacteroides_faecis|t__SGB1860"	-0.602585850466425	NA	NA	"diagnosis"
"s__Eubacterium_rectale|t__SGB4933"	-0.784994697303831	NA	NA	"diagnosis"
"s__GGB3510_SGB4687|t__SGB4687"	3.11246996030446	6.39073556877018e-05	0.000689353608778371	"diagnosis"
"s__Eisenbergiella_sp_OF01_20|t__SGB4989"	0.313205343115228	0.925090419827646	0.989739802220386	"diagnosis"
"s__Enterocloster_aldenensis|t__SGB4762"	0.930274912783996	NA	NA	"diagnosis"
"s__Bacteroides_cellulosilyticus|t__SGB1844"	-0.694891300943097	NA	NA	"diagnosis"
"s__GGB3538_SGB4728|t__SGB4728"	0.472205354563524	NA	NA	"diagnosis"
"s__Bacteroides_xylanisolvens|t__SGB1867"	-0.484646821816004	NA	NA	"diagnosis"
"s__Eggerthella_lenta|t__SGB14809"	-1.76148099680884	0.00869439486226645	0.0566116886490599	"diagnosis"
"s__Massiliimalia_massiliensis|t__SGB29347"	-0.3776090443602	0.272733600199597	0.989739802220386	"diagnosis"
"s__Massilioclostridium_coli|t__SGB29305"	-1.46417057401698	0.0013635685660459	0.0104185160749444	"diagnosis"
"s__Prevotella_colorans|t__SGB1502"	0.0119213239734052	0.974332717993257	0.989739802220386	"diagnosis"
"s__Sutterella_wadsworthensis|t__SGB9286"	0.318596551258994	NA	NA	"diagnosis"
"s__GGB79634_SGB101324|t__SGB101324"	-2.50443721519736	6.3803673836556e-10	1.7018179912405e-08	"diagnosis"
"s__Alistipes_onderdonkii|t__SGB2303"	-1.88897044181366	NA	NA	"diagnosis"
"s__GGB6574_SGB9290|t__SGB9290"	0.214735085504122	0.948613806087164	0.989739802220386	"diagnosis"
"s__Enterocloster_lavalensis|t__SGB4725"	0.357524850447495	NA	NA	"diagnosis"
"s__Alistipes_dispar|t__SGB2311"	-0.402274819786837	NA	NA	"diagnosis"
"s__Dorea_longicatena|t__SGB4581"	-0.888248116580243	NA	NA	"diagnosis"
"s__Drancourtella_sp_An57|t__SGB4619"	0.227648739465473	NA	NA	"diagnosis"
"s__Clostridia_bacterium_UC5_1_1D1|t__SGB14995"	-0.0499682913005798	NA	NA	"diagnosis"
"s__Bacteroides_fragilis|t__SGB1853"	1.00650547768452	NA	NA	"diagnosis"
"s__Akkermansia_muciniphila|t__SGB9226"	-0.825873752041826	NA	NA	"diagnosis"
"s__Acidaminococcus_intestini|t__SGB5736"	0.320082072659344	NA	NA	"diagnosis"
"s__Escherichia_coli|t__SGB10068"	1.12950299595855	NA	NA	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15318"	-1.3803256775189	NA	NA	"diagnosis"
"s__Clostridiaceae_bacterium_AF18_31LB|t__SGB4767"	-2.9190402596466	NA	NA	"diagnosis"
"s__GGB3267_SGB4317|t__SGB4317"	0.105280804067956	0.97479030627942	0.989739802220386	"diagnosis"
"s__Ruminococcus_torques|t__SGB4563"	-1.79236426619777	NA	NA	"diagnosis"
"s__Parabacteroides_johnsonii|t__SGB1948"	-0.817584751977847	0.80566936775217	0.989739802220386	"diagnosis"
"s__Pseudoflavonifractor_capillosus|t__SGB15161"	-0.225778034471502	0.945905436597005	0.989739802220386	"diagnosis"
"s__Sellimonas_intestinalis|t__SGB4617"	-1.20467045764712	NA	NA	"diagnosis"
"s__Bacteroides_salyersiae|t__SGB1857"	-0.797064976175	NA	NA	"diagnosis"
"s__Phascolarctobacterium_faecium|t__SGB5792"	0.0412974338429546	NA	NA	"diagnosis"
"s__Veillonella_parvula|t__SGB6939"	-0.223091246617176	NA	NA	"diagnosis"
"s__Bacteroides_sp_L10_4|t__SGB27790"	0.142871216900493	0.690563842930136	0.989739802220386	"diagnosis"
"s__Bacteroides_fluxus|t__SGB1835"	0.279254896340351	0.933175725024304	0.989739802220386	"diagnosis"
"s__GGB1364_SGB1833|t__SGB1833"	0.370062111232797	0.369539744441622	0.989739802220386	"diagnosis"
"s__Alistipes_SGB2313|t__SGB2313"	-0.402444612463819	NA	NA	"diagnosis"
"s__Faecalibacterium_SGB15346|t__SGB15346"	-0.386247664966327	NA	NA	"diagnosis"
"s__Tyzzerella_nexilis|t__SGB4588"	-0.365237143770811	NA	NA	"diagnosis"
"s__Roseburia_intestinalis|t__SGB4951"	-0.517393316452727	NA	NA	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15316"	0.2752515264481	0.729135180314294	0.989739802220386	"diagnosis"
"s__Streptococcus_thermophilus|t__SGB8002"	-0.26632111884963	NA	NA	"diagnosis"
"s__Escherichia_marmotae|t__SGB10064"	-0.518977631130558	0.401204471130492	0.989739802220386	"diagnosis"
"s__Bacteroides_intestinalis|t__SGB1846"	-0.0366525809195655	NA	NA	"diagnosis"
"s__Collinsella_aerofaciens|t__SGB14535_group"	-0.684686594487539	NA	NA	"diagnosis"
"s__Prevotella_copri_clade_A|t__SGB1626"	-0.392268617931262	NA	NA	"diagnosis"
"s__Ruminococcus_lactaris|t__SGB4557"	-0.91134269415668	NA	NA	"diagnosis"
"s__GGB9620_SGB15068|t__SGB15068"	0.557948223669924	0.866996095146866	0.989739802220386	"diagnosis"
"s__Clostridium_sp_AF34_10BH|t__SGB4914"	-1.90513249244416	NA	NA	"diagnosis"
"s__Proteus_mirabilis|t__SGB9992"	-0.586995548834182	NA	NA	"diagnosis"
"s__Klebsiella_variicola|t__SGB10114"	0.108049705892467	0.974126857980826	0.989739802220386	"diagnosis"
"s__Faecalimonas_umbilicata|t__SGB4583"	0.194251979633575	NA	NA	"diagnosis"
"s__Clostridium_sp_1001271st1_H5|t__SGB4757"	1.71515189754092	0.013567659602783	0.0849506867388364	"diagnosis"
"s__GGB9724_SGB15278|t__SGB15278"	0.238603886739298	0.90406071770971	0.989739802220386	"diagnosis"
"s__Bacteroides_finegoldii|t__SGB1862"	-1.34514022968632	NA	NA	"diagnosis"
"s__Roseburia_SGB4958|t__SGB4958"	0.0119213239734052	0.974332717993257	0.989739802220386	"diagnosis"
"s__Erysipelatoclostridium_ramosum|t__SGB6744"	1.00457708113623	NA	NA	"diagnosis"
"s__Intestinibacter_bartlettii|t__SGB6140"	-0.296308103945666	0.929005570211628	0.989739802220386	"diagnosis"
"s__GGB6601_SGB9333|t__SGB9333"	-0.32694088974858	NA	NA	"diagnosis"
"s__Blautia_producta|t__SGB4786"	-0.191340942649567	0.930242023511413	0.989739802220386	"diagnosis"
"s__GGB1102_SGB1416|t__SGB1416"	0.269797389146998	NA	NA	"diagnosis"
"s__Clostridium_scindens|t__SGB4631"	-0.120911945215412	0.947154020274289	0.989739802220386	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15326"	1.92412011514447	NA	NA	"diagnosis"
"s__Blautia_faecis|t__SGB4820"	0.303013632672921	0.670837962783356	0.989739802220386	"diagnosis"
"s__Paraprevotella_clara|t__SGB1798"	-0.896332161814399	NA	NA	"diagnosis"
"s__Barnesiella_intestinihominis|t__SGB1965"	-2.31233138549693	NA	NA	"diagnosis"
"s__Faecalibacterium_SGB15315|t__SGB15315"	-2.33672904944843	NA	NA	"diagnosis"
"s__Dysosmobacter_sp_NSJ_60|t__SGB15124"	0.268468998568043	NA	NA	"diagnosis"
"s__GGB16040_SGB9347|t__SGB9347"	0.0844125096163608	NA	NA	"diagnosis"
"s__GGB1246_SGB1667|t__SGB1667"	0.1706706873442	NA	NA	"diagnosis"
"s__Blautia_obeum|t__SGB4811"	-0.519190210402353	NA	NA	"diagnosis"
"s__GGB4248_SGB5746|t__SGB5746"	0.171572376259814	NA	NA	"diagnosis"
"s__Ruminococcus_SGB4421|t__SGB4421"	-0.203608626136914	NA	NA	"diagnosis"
"s__Ruminococcus_sp_BSD2780120874_150323_B10|t__SGB4290"	-0.193136691518125	NA	NA	"diagnosis"
"s__Sutterella_wadsworthensis|t__SGB9283"	-3.02986097166173	NA	NA	"diagnosis"
"s__Firmicutes_bacterium_AF16_15|t__SGB4993"	-2.31468190973405	NA	NA	"diagnosis"
"s__Alistipes_finegoldii|t__SGB2301"	-1.6331179856996	NA	NA	"diagnosis"
"s__Parasutterella_excrementihominis|t__SGB9262"	-0.395109840155223	NA	NA	"diagnosis"
"s__Bilophila_wadsworthia|t__SGB15452"	0.570493892883856	0.511073033021507	0.989739802220386	"diagnosis"
"s__Clostridium_sp_AM22_11AC|t__SGB4749"	-1.64994372119876	NA	NA	"diagnosis"
"s__Lachnospira_pectinoschiza|t__SGB5075"	-1.04036062868839	NA	NA	"diagnosis"
"s__Clostridiaceae_bacterium|t__SGB4721"	-1.66623342819879	NA	NA	"diagnosis"
"s__GGB42994_SGB4746|t__SGB4746"	0.888762992798892	NA	NA	"diagnosis"
"s__GGB9581_SGB79823|t__SGB79823"	-0.0942425707271082	NA	NA	"diagnosis"
"s__Bacteroides_eggerthii|t__SGB1829"	-2.12255888715487	NA	NA	"diagnosis"
"s__Anaeromassilibacillus_sp_An250|t__SGB14894"	-0.163042534346899	NA	NA	"diagnosis"
"s__Bacteroides_gallinarum|t__SGB1828"	0.0549248521275601	0.978270424825876	0.989739802220386	"diagnosis"
"s__GGB2653_SGB3574|t__SGB3574"	-1.84228038769982	NA	NA	"diagnosis"
"s__Amedibacterium_intestinale|t__SGB4042"	0.17649576043478	NA	NA	"diagnosis"
"s__Hydrogeniiclostidium_mannosilyticum|t__SGB14890"	-2.61854056754772	7.79389544422406e-05	0.000794003098380326	"diagnosis"
"s__Bacteroides_sp_AM10_21B|t__SGB1831"	0.690066060783142	NA	NA	"diagnosis"
"s__Massilimicrobiota_timonensis|t__SGB6767"	-0.230893816244086	NA	NA	"diagnosis"
"s__Lacrimispora_celerecrescens|t__SGB4868"	-0.794745678420253	0.343825215670983	0.989739802220386	"diagnosis"
"s__Bacteroides_clarus|t__SGB1832"	-0.140786351846867	0.966224950477138	0.989739802220386	"diagnosis"
"s__GGB3444_SGB4594|t__SGB4594"	0.32998945326225	NA	NA	"diagnosis"
"s__Phocea_massiliensis|t__SGB14837"	0.369836033573845	0.641944147731019	0.989739802220386	"diagnosis"
"s__GGB28262_SGB40814|t__SGB40814"	0.807029418554393	0.0755925838507328	0.372128592312164	"diagnosis"
"s__GGB9364_SGB14339|t__SGB14339"	0.831241627023748	0.0559099291025776	0.296348952684138	"diagnosis"
"s__Pseudoflavonifractor_gallinarum|t__SGB29328"	-0.547108384665233	0.430778741545583	0.989739802220386	"diagnosis"
"s__Negativibacillus_massiliensis|t__SGB14912"	1.60674653707356	0.0507643295019933	0.272788539851371	"diagnosis"
"s__Ruminococcaceae_bacterium_AM28_23LB|t__SGB14974"	3.6700517760732	NA	NA	"diagnosis"
"s__Intestinimonas_gabonensis|t__SGB79840"	-1.27368532930325	NA	NA	"diagnosis"
"s__Hungatella_hathewayi|t__SGB4742"	-0.621642247240129	NA	NA	"diagnosis"
"s__Clostridiaceae_bacterium_Marseille_Q4143|t__SGB4768"	-1.61809159849876	NA	NA	"diagnosis"
"s__Ruminococcus_bromii|t__SGB4285"	-1.14564304216001	0.729860758787115	0.989739802220386	"diagnosis"
"s__Clostridiaceae_unclassified_SGB15090|t__SGB15090"	-0.948386859354148	0.775381080344998	0.989739802220386	"diagnosis"
"s__Odoribacter_splanchnicus|t__SGB1790"	-2.33913757212895	NA	NA	"diagnosis"
"s__Butyricimonas_virosa|t__SGB1784"	0.165381842879897	0.960362050344787	0.989739802220386	"diagnosis"
"s__Alistipes_indistinctus|t__SGB2325"	-0.882072650592146	NA	NA	"diagnosis"
"s__Coprococcus_comes|t__SGB4577"	-0.404716258112516	NA	NA	"diagnosis"
"s__Candidatus_Borkfalkia_ceftriaxoniphila|t__SGB14027"	-1.2061627805677	0.621899657283563	0.989739802220386	"diagnosis"
"s__Methylobacterium_SGB15164|t__SGB15164"	-0.606574723052761	NA	NA	"diagnosis"
"s__GGB9512_SGB14909|t__SGB14909"	-1.38728316602691	0.613725709756063	0.989739802220386	"diagnosis"
"s__Collinsella_tanakaei|t__SGB14737"	-0.0871179534854182	0.97443956200845	0.989739802220386	"diagnosis"
"s__GGB3817_SGB5182|t__SGB5182"	0.917338497963081	NA	NA	"diagnosis"
"s__GGB9699_SGB15216|t__SGB15216"	-2.02049125737356	NA	NA	"diagnosis"
"s__GGB9186_SGB14125|t__SGB14125"	-0.105217823460419	0.921242139897867	0.989739802220386	"diagnosis"
"s__Rheinheimera_SGB14999|t__SGB14999"	-0.334649293418327	NA	NA	"diagnosis"
"s__Alcaligenes_SGB14037|t__SGB14037"	3.40076429866504	NA	NA	"diagnosis"
"s__GGB9619_SGB15066|t__SGB15066"	0.889758756676862	0.266485319075432	0.989739802220386	"diagnosis"
"s__GGB2848_SGB3813|t__SGB3813"	1.002402189233	0.160446804902077	0.742509346344942	"diagnosis"
"s__GGB33586_SGB53517|t__SGB53517"	-1.74113501954528	0.0421102615283007	0.230506543514989	"diagnosis"
"s__GGB9775_SGB15395|t__SGB15395"	-3.00382249650237	0.0780041412743844	0.382349212358416	"diagnosis"
"s__Clostridiales_bacterium_KLE1615|t__SGB5090"	-1.59971271032323	NA	NA	"diagnosis"
"s__GGB4802_SGB6641|t__SGB6641"	-2.00698788861313	0.00349492245136531	0.0252564100303099	"diagnosis"
"s__Clostridium_sp_AF20_17LB|t__SGB4714"	0.441196202788254	NA	NA	"diagnosis"
"s__Collinsella_SGB14861|t__SGB14861"	-2.83574631863027	NA	NA	"diagnosis"
"s__Clostridium_SGB4750|t__SGB4750"	-1.52608846481241	NA	NA	"diagnosis"
"s__Lachnoclostridium_sp_An181|t__SGB4620"	1.81672148535804	0.00379802629484666	0.0269164472200002	"diagnosis"
"s__GGB3499_SGB4674|t__SGB4674"	-0.406019502011198	NA	NA	"diagnosis"
"s__Blautia_hydrogenotrophica|t__SGB4677"	0.376592902064197	NA	NA	"diagnosis"
"s__Evtepia_gabavorous|t__SGB15120"	-1.52747648985397	NA	NA	"diagnosis"
"s__Blautia_glucerasea|t__SGB4804"	0.191227121099793	0.753683552254149	0.989739802220386	"diagnosis"
"s__GGB9719_SGB15273|t__SGB15273"	-3.63149911349466	4.09046724314299e-06	5.71496709113406e-05	"diagnosis"
"s__Holdemania_filiformis|t__SGB4046"	-0.63246671344341	NA	NA	"diagnosis"
"s__Dorea_formicigenerans|t__SGB4575"	0.360412795463775	0.644247039138171	0.989739802220386	"diagnosis"
"s__Vescimonas_coprocola|t__SGB15089"	-1.48089084412164	NA	NA	"diagnosis"
"s__GGB3033_SGB4029|t__SGB4029"	0.0498339238266685	NA	NA	"diagnosis"
"s__Acidaminococcus_SGB5735|t__SGB5735"	0.968313091094771	0.0569829079101295	0.299324281761382	"diagnosis"
"s__Roseburia_sp_AF02_12|t__SGB4938"	-1.37941886852056	NA	NA	"diagnosis"
"s__Longibaculum_muris|t__SGB6769"	0.493959883802356	NA	NA	"diagnosis"
"s__Eisenbergiella_tayi|t__SGB4988"	-0.369574341782287	NA	NA	"diagnosis"
"s__GGB34900_SGB14891|t__SGB14891"	1.15107912998936	0.0395670006468495	0.217396217037185	"diagnosis"
"s__Anaerostipes_caccae|t__SGB4529"	-0.382105781690915	0.823885991551552	0.989739802220386	"diagnosis"
"s__Gemmiger_sp_An87|t__SGB15281"	0.282150820849336	0.77802399009161	0.989739802220386	"diagnosis"
"s__Dysosmobacter_sp_BX15|t__SGB15053"	-1.54576559942921	NA	NA	"diagnosis"
"s__Christensenellaceae_bacterium_NSJ_63|t__SGB14127"	-4.65990575706118	2.42532304141014e-14	1.27069603633881e-12	"diagnosis"
"s__Alistipes_SGB2302|t__SGB2302"	0.284233713577084	0.629359504716251	0.989739802220386	"diagnosis"
"s__Anaerococcus_SGB53821|t__SGB53821"	-1.38112718466401	NA	NA	"diagnosis"
"s__GGB33512_SGB15201|t__SGB15201"	-0.040852745804013	NA	NA	"diagnosis"
"s__GGB28271_SGB40830|t__SGB40830"	0.102208834632886	0.782918111950318	0.989739802220386	"diagnosis"
"s__Clostridiaceae_bacterium|t__SGB82499"	-0.0547090571461726	0.879248594900331	0.989739802220386	"diagnosis"
"s__Lacrimispora_amygdalina|t__SGB4716"	-0.120141708220455	NA	NA	"diagnosis"
"s__GGB9453_SGB14844|t__SGB14844"	-0.305955541094163	NA	NA	"diagnosis"
"s__Massilimicrobiota_sp_An134|t__SGB6768"	0.0184143916906331	0.987595067970769	0.995056294445823	"diagnosis"
"s__Lachnoclostridium_sp_An138|t__SGB4774"	-0.0018631239878469	NA	NA	"diagnosis"
"s__GGB3446_SGB4597|t__SGB4597"	2.04516716239106	0.0049878187720712	0.0343527236555326	"diagnosis"
"s__GGB3892_SGB5290|t__SGB5290"	0.0119213239734052	0.974332717993257	0.989739802220386	"diagnosis"
"s__GGB9641_SGB15117|t__SGB15117"	0.82742623979408	0.0965451142972547	0.463068095487824	"diagnosis"
"s__Candidatus_Metaruminococcus_gallistercoris|t__SGB14870"	0.113947072477534	0.923578085299728	0.989739802220386	"diagnosis"
"s__Candidatus_Pararuminococcus_gallinarum|t__SGB63327"	-1.80862256036758	7.14884968191367e-05	0.000746322524899931	"diagnosis"
"s__GGB9661_SGB15150|t__SGB15150"	3.221000068026	5.68167203112909e-07	9.36518299962513e-06	"diagnosis"
"s__Harryflintia_acetispora|t__SGB14838"	2.70819245266944	3.95059294080592e-05	0.000463641587532982	"diagnosis"
"s__Anaerotruncus_rubiinfantis|t__SGB25416"	1.80422828705146	0.00741584633141986	0.0494502116736043	"diagnosis"
"s__Candidatus_Metaruminococcus_caecorum|t__SGB63353"	0.0119213239734052	0.974332717993257	0.989739802220386	"diagnosis"
"s__GGB58233_SGB79883|t__SGB79883"	-3.07152896413295	1.48111912749393e-14	8.35692984628308e-13	"diagnosis"
"s__Dorea_sp_AF36_15AT|t__SGB4552"	-0.03046453172339	NA	NA	"diagnosis"
"s__GGB9765_SGB15382|t__SGB15382"	-0.287576678373503	0.823267262873197	0.989739802220386	"diagnosis"
"s__Mediterraneibacter_glycyrrhizinilyticus|t__SGB4606"	-0.0231848226624185	0.994337884320774	0.998736086777292	"diagnosis"
"s__Dielma_fastidiosa|t__SGB4031"	-0.192427386447217	NA	NA	"diagnosis"
"s__Adlercreutzia_equolifaciens|t__SGB14797"	-1.07869745243672	0.409749335029216	0.989739802220386	"diagnosis"
"s__Desulfovibrio_SGB5076|t__SGB5076"	0.0408546706222486	NA	NA	"diagnosis"
"s__Holdemania_sp_1001095H_141210_F2|t__SGB4045"	3.3456134444106	NA	NA	"diagnosis"
"s__Prevotella_buccae|t__SGB1531"	0.0119213239734052	0.974332717993257	0.989739802220386	"diagnosis"
"s__Hydrogenoanaerobacterium_saccharovorans|t__SGB15350"	0.948337564420099	NA	NA	"diagnosis"
"s__Anaerostipes_hadrus|t__SGB4547"	-1.65249919862395	NA	NA	"diagnosis"
