"feature"	"coef_CR"	"pval_CR"	"qval_CR"	"metadata"
"s__Sanguibacteroides_justesenii.t__SGB1776"	-0.122008803012891	0.0266043516821177	0.443009812065819	"diagnosis"
"s__Bacteroides_eggerthii.t__SGB1829"	-2.91296558715459	0.0296234711632717	0.443009812065819	"diagnosis"
"s__Odoribacter_splanchnicus.t__SGB1790"	-2.18780645742678	0.0291173870912059	0.443009812065819	"diagnosis"
"s__GGB9189_SGB14128.t__SGB14128"	-0.152924951973399	0.0295216816879084	0.443009812065819	"diagnosis"
"s__GGB9635_SGB15103.t__SGB15103"	-0.134026508520771	0.0298042394490255	0.443009812065819	"diagnosis"
"s__GGB9616_SGB15051.t__SGB15051"	-0.635574758152696	0.0306813046797479	0.443009812065819	"diagnosis"
"s__Peptostreptococcus_anaerobius.t__SGB746"	-0.173554155304949	0.0306467269582332	0.443009812065819	"diagnosis"
"s__Clostridiales_bacterium_KLE1615.t__SGB5090"	-2.06428248513898	0.031488207548634	0.443009812065819	"diagnosis"
"s__Clostridium_leptum.t__SGB14853"	-2.01547504439383	0.0321687063217617	0.443009812065819	"diagnosis"
"s__GGB2998_SGB3989.t__SGB3989"	-0.751739963901613	0.0320401971141437	0.443009812065819	"diagnosis"
"s__GGB9758_SGB15368.t__SGB15368"	-1.06980616377074	0.0341000818744197	0.443009812065819	"diagnosis"
"s__Roseburia_sp_AM59_24XD.t__SGB4654"	-0.342625049828004	0.0365842492770325	0.443009812065819	"diagnosis"
"s__GGB45432_SGB63101.t__SGB63101"	-0.160819368704077	0.0371912751088584	0.443009812065819	"diagnosis"
"s__Evtepia_gabavorous.t__SGB15120"	-1.60128609182379	0.0391199157334039	0.443009812065819	"diagnosis"
"s__Clostridiaceae_bacterium.t__SGB4269"	-1.81696814583177	0.0397134527211351	0.443009812065819	"diagnosis"
"s__Desulfovibrio_desulfuricans.t__SGB15463"	-0.372600906126157	0.0398159524697056	0.443009812065819	"diagnosis"
"s__Victivallis_vadensis.t__SGB9202"	-0.178288241563254	0.0412753970402599	0.443009812065819	"diagnosis"
"s__GGB9184_SGB14123.t__SGB14123"	-0.0510553062025467	0.0412140393700323	0.443009812065819	"diagnosis"
"s__Clostridium_sp_AT4.t__SGB4753"	2.46854442053645	0.0414805597274953	0.443009812065819	"diagnosis"
"s__Candidatus_Cibionibacter_quicibialis.t__SGB15286"	-1.50701452968054	0.0427730853862806	0.443009812065819	"diagnosis"
"s__GGB79734_SGB15291.t__SGB15291"	-0.763517581301069	0.0426760626379322	0.443009812065819	"diagnosis"
"s__GGB2998_SGB3988.t__SGB3988"	-0.557253204266097	0.0424281935579649	0.443009812065819	"diagnosis"
"s__Butyrivibrio_crossotus.t__SGB5065"	-0.587962428480582	0.0425854830192323	0.443009812065819	"diagnosis"
"s__Hydrogeniiclostidium_mannosilyticum.t__SGB14890"	-0.419028658327762	0.0431609735894726	0.443009812065819	"diagnosis"
"s__GGB3281_SGB4335.t__SGB4335"	-0.0506695605773812	0.0435576877738491	0.443009812065819	"diagnosis"
"s__GGB9072_SGB13992.t__SGB13992"	-0.050669560577383	0.0435576877738421	0.443009812065819	"diagnosis"
"s__GGB9071_SGB13990.t__SGB13990"	-0.0506695605773873	0.0435576877738247	0.443009812065819	"diagnosis"
"s__GGB9760_SGB15373.t__SGB15373"	-1.03186972168663	0.0442948075825869	0.443009812065819	"diagnosis"
"s__Coprococcus_SGB4669.t__SGB4669"	-1.05612562584675	0.0452611100319551	0.443009812065819	"diagnosis"
"s__Alistipes_sp_AF17_16.t__SGB2326"	-0.75113212733509	0.0459943069179938	0.443009812065819	"diagnosis"
"s__Odoribacter_laneus.t__SGB1792"	-0.321914630517505	0.0461196514588885	0.443009812065819	"diagnosis"
"s__Lachnospiraceae_bacterium_Marseille_Q4251.t__SGB4780"	-0.635394920221087	0.0478297370466181	0.443009812065819	"diagnosis"
"s__GGB38744_SGB14842.t__SGB14842"	-0.387555799019682	0.0480054712290527	0.443009812065819	"diagnosis"
"s__GGB9819_SGB15460.t__SGB15460"	-0.407373094423939	0.0483812579825132	0.443009812065819	"diagnosis"
"s__GGB58158_SGB79798.t__SGB79798"	-0.445933770406823	0.0491046003029214	0.443009812065819	"diagnosis"
"s__Lacrimispora_celerecrescens.t__SGB4868"	-1.61770226697565	0.0501012679744688	0.443009812065819	"diagnosis"
"s__Faecalibacterium_SGB15315.t__SGB15315"	-2.18988631300745	0.0521538367552109	0.443009812065819	"diagnosis"
"s__GGB3001_SGB3992.t__SGB3992"	-0.487850610816568	0.0520509381589198	0.443009812065819	"diagnosis"
"s__GGB33586_SGB53517.t__SGB53517"	-0.573533243239441	0.0542008775776914	0.443009812065819	"diagnosis"
"s__Proteus_mirabilis.t__SGB9992"	-0.163829386556448	0.0549661209076608	0.443009812065819	"diagnosis"
"s__Clostridium_sp_AF36_4.t__SGB4644"	-1.39436319448987	0.104803627466953	0.443009812065819	"diagnosis"
"s__Blautia_massiliensis.t__SGB4826"	-1.82875361639599	0.0605536853970153	0.443009812065819	"diagnosis"
"s__Lawsonibacter_asaccharolyticus.t__SGB15154"	-1.17768605302231	0.077881139979368	0.443009812065819	"diagnosis"
"s__Anaerobutyricum_hallii.t__SGB4532"	-1.31349364724546	0.0674837040534161	0.443009812065819	"diagnosis"
"s__Intestinimonas_butyriciproducens.t__SGB15126"	1.28678917605933	0.0717064119301887	0.443009812065819	"diagnosis"
"s__Blautia_wexlerae.t__SGB4837"	-1.49677736063244	0.101136204280254	0.443009812065819	"diagnosis"
"s__Bifidobacterium_longum.t__SGB17248"	-1.8942496880063	0.0866463940515323	0.443009812065819	"diagnosis"
"s__Massiliimalia_massiliensis.t__SGB29347"	-0.0410981937283306	0.108260303373018	0.443009812065819	"diagnosis"
"s__GGB79634_SGB101324.t__SGB101324"	-0.042310537121682	0.104373316063732	0.443009812065819	"diagnosis"
"s__Parabacteroides_johnsonii.t__SGB1948"	-0.71856021797541	0.0909817548394646	0.443009812065819	"diagnosis"
"s__Sellimonas_intestinalis.t__SGB4617"	-1.05665641132518	0.0723096352342945	0.443009812065819	"diagnosis"
"s__Clostridium_sp_AF34_10BH.t__SGB4914"	-1.65752962865032	0.0776711774359313	0.443009812065819	"diagnosis"
"s__Clostridium_sp_AM22_11AC.t__SGB4749"	-1.23295559325655	0.080333722128237	0.443009812065819	"diagnosis"
"s__Clostridiaceae_bacterium.t__SGB4721"	-2.18719150392664	0.0699854013481976	0.443009812065819	"diagnosis"
"s__GGB42994_SGB4746.t__SGB4746"	0.619292288661374	0.0890377988940722	0.443009812065819	"diagnosis"
"s__Clostridiaceae_bacterium_Marseille_Q4143.t__SGB4768"	-1.00741602602444	0.0944061047211066	0.443009812065819	"diagnosis"
"s__Clostridiaceae_unclassified_SGB15090.t__SGB15090"	-0.866920602786201	0.0630964427349322	0.443009812065819	"diagnosis"
"s__GGB3817_SGB5182.t__SGB5182"	0.718989946675645	0.1064287758805	0.443009812065819	"diagnosis"
"s__GGB9775_SGB15395.t__SGB15395"	-0.274429089579206	0.0819049499964743	0.443009812065819	"diagnosis"
"s__Anaerostipes_caccae.t__SGB4529"	-0.364101376329758	0.104235456355937	0.443009812065819	"diagnosis"
"s__GGB9765_SGB15382.t__SGB15382"	-0.0410981937283292	0.10826030337303	0.443009812065819	"diagnosis"
"s__Hydrogenoanaerobacterium_saccharovorans.t__SGB15350"	0.742728879479502	0.0860895626720066	0.443009812065819	"diagnosis"
"s__Anaerostipes_hadrus.t__SGB4547"	-1.15737991871395	0.07464165805746	0.443009812065819	"diagnosis"
"s__Eubacterium_sp_AF16_48.t__SGB5042"	-0.513049754997534	0.0750077257838915	0.443009812065819	"diagnosis"
"s__Candidatus_Pseudoruminococcus_merdavium.t__SGB71394"	-0.0436882000686768	0.0928807470212365	0.443009812065819	"diagnosis"
"s__Hafnia_paralvei.t__SGB10207"	-0.0429718153362433	0.0997213355101139	0.443009812065819	"diagnosis"
"s__Mediterraneibacter_butyricigenes.t__SGB25493"	-0.299876119011209	0.0775044140624125	0.443009812065819	"diagnosis"
"s__Eubacteriales_unclassified_SGB15145.t__SGB15145"	-0.671786355511434	0.0688928690992415	0.443009812065819	"diagnosis"
"s__GGB3167_SGB4181.t__SGB4181"	-0.0410981937283242	0.108260303373071	0.443009812065819	"diagnosis"
"s__Gordonibacter_pamelaeae.t__SGB14807"	-0.0414839393534899	0.107718925582121	0.443009812065819	"diagnosis"
"s__GGB2980_SGB3962.t__SGB3962"	-0.0410981937283329	0.108260303372999	0.443009812065819	"diagnosis"
"s__Akkermansia_muciniphila.t__SGB9228"	0.773923498368677	0.0773123728333873	0.443009812065819	"diagnosis"
"s__Gemmiger_formicilis.t__SGB15300"	-1.12476804304035	0.059453636438939	0.443009812065819	"diagnosis"
"s__GGB3175_SGB4191.t__SGB4191"	-0.831659046915769	0.0580284794839678	0.443009812065819	"diagnosis"
"s__GGB53985_SGB6367.t__SGB6367"	-0.0429718153362433	0.0997213355101139	0.443009812065819	"diagnosis"
"s__GGB3005_SGB3996.t__SGB3996"	-0.400126994844802	0.103093080281937	0.443009812065819	"diagnosis"
"s__GGB9559_SGB14969.t__SGB14969"	-0.0414288328356072	0.107837613836836	0.443009812065819	"diagnosis"
"s__GGB9713_SGB15249.t__SGB15249"	-1.13090885100829	0.0969144774342893	0.443009812065819	"diagnosis"
"s__Holdemania_massiliensis.t__SGB4044"	-0.529945887327504	0.0810276320765901	0.443009812065819	"diagnosis"
"s__GGB9469_SGB14862.t__SGB14862"	-0.214987691617497	0.0871376707521427	0.443009812065819	"diagnosis"
"s__Colibacter_massiliensis.t__SGB5869"	-0.0414839393534912	0.10771892558211	0.443009812065819	"diagnosis"
"s__Bacteroides_nordii.t__SGB1858"	-1.09639064463794	0.0731815435269025	0.443009812065819	"diagnosis"
"s__GGB13404_SGB14252.t__SGB14252"	-0.53602199256873	0.0751481896259233	0.443009812065819	"diagnosis"
"s__Gemmiger_SGB15295.t__SGB15295"	-0.429017527711507	0.0718092020820914	0.443009812065819	"diagnosis"
"s__GGB3363_SGB4447.t__SGB4447"	-0.180475648779667	0.0554533534450326	0.443009812065819	"diagnosis"
"s__GGB4566_SGB6305.t__SGB6305"	-0.0414288328356093	0.107837613836819	0.443009812065819	"diagnosis"
"s__GGB52106_SGB72838.t__SGB72838"	-0.0439086261401955	0.090425385157805	0.443009812065819	"diagnosis"
"s__GGB4567_SGB6308.t__SGB6308"	-0.0429718153362409	0.0997213355101324	0.443009812065819	"diagnosis"
"s__GGB9209_SGB14148.t__SGB14148"	-0.0439086261401977	0.0904253851577888	0.443009812065819	"diagnosis"
"s__Clostridium_transplantifaecale.t__SGB29435"	-0.0436882000686797	0.092880747021215	0.443009812065819	"diagnosis"
"s__Lachnospiraceae_bacterium_NSJ_29.t__SGB25431"	-0.326769142090369	0.108370679833305	0.443009812065819	"diagnosis"
"s__Allisonella_histaminiformans.t__SGB5843"	1.28882808712384	0.0557856827380385	0.443009812065819	"diagnosis"
"s__Ruminococcus_sp_AF41_9.t__SGB25497"	-0.0407124481031669	0.108102700906321	0.443009812065819	"diagnosis"
"s__GGB9781_SGB15402.t__SGB15402"	-0.0410981937283235	0.108260303373078	0.443009812065819	"diagnosis"
"s__Lachnoclostridium_sp_An118.t__SGB4623"	-0.041098193728326	0.108260303373057	0.443009812065819	"diagnosis"
"s__Porphyromonas_uenonis.t__SGB1974"	-0.041483939353484	0.107718925582171	0.443009812065819	"diagnosis"
"s__Clostridiaceae_bacterium_OM02_2AC.t__SGB4038"	-0.0440188391759567	0.0891389268289023	0.443009812065819	"diagnosis"
"s__Citrobacter_sp_RHBSTW_00671.t__SGB58199"	-0.0435779870329228	0.0940483306060519	0.443009812065819	"diagnosis"
"s__GGB3815_SGB5180.t__SGB5180"	-0.521080020122157	0.0782014014003172	0.443009812065819	"diagnosis"
"s__GGB51269_SGB5062.t__SGB5062"	-0.0420901110501649	0.105544084415948	0.443009812065819	"diagnosis"
"s__Streptococcus_SGB8633.t__SGB8633"	-0.0407124481031685	0.108102700906307	0.443009812065819	"diagnosis"
"s__Lachnospiraceae_bacterium.t__SGB4922"	-0.478944097340517	0.0971336493741238	0.443009812065819	"diagnosis"
"s__GGB79973_SGB14342.t__SGB14342"	-0.0407124481031714	0.108102700906282	0.443009812065819	"diagnosis"
"s__Lactococcus_cremoris.t__SGB7984"	-0.0407124481031616	0.108102700906366	0.443009812065819	"diagnosis"
"s__Butyricicoccus_SGB14990.t__SGB14990"	-0.0423105371216859	0.104373316063701	0.443009812065819	"diagnosis"
"s__Streptococcus_SGB14036.t__SGB14036"	-0.0423105371216873	0.10437331606369	0.443009812065819	"diagnosis"
"s__GGB58485_SGB80143.t__SGB80143"	-0.0423105371216841	0.104373316063715	0.443009812065819	"diagnosis"
"s__Candidatus_Heritagella_intestinalis.t__SGB63346"	-0.042310537121682	0.104373316063733	0.443009812065819	"diagnosis"
"s__Parvimonas_micra.t__SGB6653"	-0.0436882000686797	0.0928807470212148	0.443009812065819	"diagnosis"
"s__Streptococcus_SGB15012.t__SGB15012"	-0.0437433065865595	0.0922818083533781	0.443009812065819	"diagnosis"
"s__Desulfovibrio_fairfieldensis.t__SGB15470"	-0.130861807671416	0.0887737505956985	0.443009812065819	"diagnosis"
"s__GGB9602_SGB15028.t__SGB15028"	-0.0414288328356082	0.107837613836829	0.443009812065819	"diagnosis"
"s__GGB3345_SGB9340.t__SGB9340"	-0.0429718153362405	0.0997213355101356	0.443009812065819	"diagnosis"
"s__Pseudoruminococcus_massiliensis.t__SGB4280"	-0.350310270297545	0.0720311831426064	0.443009812065819	"diagnosis"
"s__Phocaeicola_SGB6473.t__SGB6473"	-0.0414288328356101	0.107837613836813	0.443009812065819	"diagnosis"
"s__Eubacteriaceae_bacterium.t__SGB5043"	-0.369314182288945	0.0888425580299486	0.443009812065819	"diagnosis"
"s__Candidatus_Heteroclostridium_caecigallinarum.t__SGB61601"	-0.0429718153362471	0.0997213355100847	0.443009812065819	"diagnosis"
"s__GGB9117_SGB14050.t__SGB14050"	-0.0410981937283249	0.108260303373066	0.443009812065819	"diagnosis"
"s__Blautia_stercoris.t__SGB4788"	-0.857619988215038	0.0753899953671353	0.443009812065819	"diagnosis"
"s__Clostridium_sp_Marseille_P3244.t__SGB29302"	-0.0410981937283324	0.108260303373002	0.443009812065819	"diagnosis"
"s__GGB3453_SGB4607.t__SGB4607"	-0.0440188391759548	0.0891389268289154	0.443009812065819	"diagnosis"
"s__Oscillospiraceae_bacterium.t__SGB4247"	-0.042090111050167	0.105544084415932	0.443009812065819	"diagnosis"
"s__GGB9734_SGB15304.t__SGB15304"	-0.0435779870329182	0.094048330606086	0.443009812065819	"diagnosis"
"s__Massilicoli_timonensis.t__SGB4026"	-0.0410981937283241	0.108260303373073	0.443009812065819	"diagnosis"
"s__GGB3002_SGB3993.t__SGB3993"	-0.182875777257193	0.108260303373051	0.443009812065819	"diagnosis"
"s__Bacteroides_SGB15210.t__SGB15210"	-0.0410981937283246	0.108260303373069	0.443009812065819	"diagnosis"
"s__GGB3000_SGB3991.t__SGB3991"	-0.0410981937283249	0.108260303373066	0.443009812065819	"diagnosis"
"s__GGB4651_SGB6438.t__SGB6438"	-0.0429718153362384	0.0997213355101522	0.443009812065819	"diagnosis"
"s__GGB79916_SGB4587.t__SGB4587"	-0.0437433065865628	0.0922818083533537	0.443009812065819	"diagnosis"
"s__GGB4599_SGB6362.t__SGB6362"	-0.0420901110501635	0.105544084415961	0.443009812065819	"diagnosis"
"s__Clostridiales_bacterium_BX7.t__SGB72833"	-0.0429718153362453	0.0997213355100989	0.443009812065819	"diagnosis"
"s__Dysgonomonas_gadei.t__SGB1774"	-0.0435779870329185	0.0940483306060836	0.443009812065819	"diagnosis"
"s__Enteroscipio_rubneri.t__SGB14803"	-0.0414839393534823	0.107718925582185	0.443009812065819	"diagnosis"
"s__Mediterraneibacter_massiliensis.t__SGB4595"	-0.0410981937283237	0.108260303373076	0.443009812065819	"diagnosis"
"s__GGB9185_SGB14124.t__SGB14124"	-0.0429718153362442	0.0997213355101071	0.443009812065819	"diagnosis"
"s__GGB3583_SGB4799.t__SGB4799"	-0.0410981937283304	0.10826030337302	0.443009812065819	"diagnosis"
"s__Dysgonomonas_mossii.t__SGB1772"	-0.0435779870329169	0.0940483306060955	0.443009812065819	"diagnosis"
"s__GGB4717_SGB6533.t__SGB6533"	-0.0429718153362361	0.0997213355101702	0.443009812065819	"diagnosis"
"s__Ruminococcus_gauvreauii.t__SGB29375"	-0.0440188391759559	0.0891389268289075	0.443009812065819	"diagnosis"
"s__GGB3569_SGB4776.t__SGB4776"	-0.0410981937283269	0.108260303373049	0.443009812065819	"diagnosis"
"s__Acinetobacter_ursingii.t__SGB10372"	-0.043688200068679	0.0928807470212198	0.443009812065819	"diagnosis"
"s__Luxibacter_massiliensis.t__SGB4592"	-0.0435779870329222	0.0940483306060561	0.443009812065819	"diagnosis"
"s__Porphyromonas_uenonis.t__SGB1973"	-0.0440188391759603	0.0891389268288762	0.443009812065819	"diagnosis"
"s__GGB4559_SGB6293.t__SGB6293"	-0.0429718153362376	0.0997213355101586	0.443009812065819	"diagnosis"
"s__Mogibacterium_sp_NSJ_24.t__SGB3961"	-0.0414839393534801	0.107718925582203	0.443009812065819	"diagnosis"
"s__Megasphaera_sp_MJR8396C.t__SGB5855"	-0.044018839175958	0.0891389268288926	0.443009812065819	"diagnosis"
"s__Ruminococcus_sp_AF46_10NS.t__SGB4824"	-0.0439086261402009	0.0904253851577658	0.443009812065819	"diagnosis"
"s__Bittarella_massiliensis.t__SGB95006"	-0.0441841587295998	0.0871376707521321	0.443009812065819	"diagnosis"
"s__GGB1385_SGB1890.t__SGB1890"	-0.0436330935508015	0.0934696147753439	0.443009812065819	"diagnosis"
"s__GGB4684_SGB6478.t__SGB6478"	-0.0414288328356047	0.107837613836857	0.443009812065819	"diagnosis"
"s__Vescimonas_SGB15087.t__SGB15087"	-0.0437433065865622	0.0922818083533583	0.443009812065819	"diagnosis"
"s__GGB3451_SGB4605.t__SGB4605"	-0.0410981937283251	0.108260303373063	0.443009812065819	"diagnosis"
"s__Eubacteriaceae_bacterium.t__SGB3958"	-0.0413737263177241	0.107942696814086	0.443009812065819	"diagnosis"
"s__Collinsella_SGB15196.t__SGB15196"	-0.0420901110501605	0.105544084415985	0.443009812065819	"diagnosis"
"s__GGB6569_SGB9281.t__SGB9281"	-0.0411533002462021	0.10822485256326	0.443009812065819	"diagnosis"
"s__GGB9288_SGB14243.t__SGB14243"	-0.0420901110501614	0.105544084415977	0.443009812065819	"diagnosis"
"s__GGB79770_SGB15022.t__SGB15022"	-0.0413737263177284	0.10794269681405	0.443009812065819	"diagnosis"
"s__GGB1680_SGB2312.t__SGB2312"	-0.0410981937283267	0.108260303373051	0.443009812065819	"diagnosis"
"s__GGB9359_SGB14334.t__SGB14334"	-0.0410981937283263	0.108260303373054	0.443009812065819	"diagnosis"
"s__Oscillospiraceae_unclassified_SGB4196.t__SGB4196"	-0.04297181533624	0.0997213355101398	0.443009812065819	"diagnosis"
"s__GGB58071_SGB79702.t__SGB79702"	-0.0414839393534874	0.107718925582142	0.443009812065819	"diagnosis"
"s__Achromobacter_SGB14223.t__SGB14223"	-0.0420901110501659	0.105544084415941	0.443009812065819	"diagnosis"
"s__GGB9266_SGB14215.t__SGB14215"	-0.0420901110501672	0.10554408441593	0.443009812065819	"diagnosis"
"s__GGB5973_SGB8589.t__SGB8589"	-0.0420901110501632	0.105544084415963	0.443009812065819	"diagnosis"
"s__GGB6012_SGB8640.t__SGB8640"	-0.0420901110501657	0.105544084415942	0.443009812065819	"diagnosis"
"s__GGB13818_SGB6606.t__SGB6606"	-0.0420901110501674	0.105544084415929	0.443009812065819	"diagnosis"
"s__GGB4586_SGB6343.t__SGB6343"	-0.0420901110501651	0.105544084415947	0.443009812065819	"diagnosis"
"s__GGB3474_SGB4637.t__SGB4637"	-0.0420901110501595	0.105544084415993	0.443009812065819	"diagnosis"
"s__Ruminococcus_champanellensis.t__SGB4418"	-0.0420901110501661	0.105544084415939	0.443009812065819	"diagnosis"
"s__GGB3306_SGB4372.t__SGB4372"	-0.0420901110501611	0.10554408441598	0.443009812065819	"diagnosis"
"s__GGB3118_SGB4130.t__SGB4130"	-0.0420901110501672	0.10554408441593	0.443009812065819	"diagnosis"
"s__GGB6001_SGB8624.t__SGB8624"	-0.042090111050162	0.105544084415972	0.443009812065819	"diagnosis"
"s__GGB52384_SGB61014.t__SGB61014"	-0.0420901110501637	0.105544084415959	0.443009812065819	"diagnosis"
"s__GGB4598_SGB6360.t__SGB6360"	-0.0420901110501661	0.105544084415939	0.443009812065819	"diagnosis"
"s__Sphingomonas_SGB1787.t__SGB1787"	-0.0420901110501661	0.105544084415939	0.443009812065819	"diagnosis"
"s__Corynebacterium_SGB1898.t__SGB1898"	-0.0429718153362403	0.099721335510137	0.443009812065819	"diagnosis"
